"Prog_Code","Program_Name","Program_Priority"
"4704","Neighborhood Council Administrative Support","A Well Run City"
"4750","General Administration and Support",""
"4803","Convention and Tourism Development","A Prosperous City"
"6501","ADA Compliance","A Livable and Sustainable City"
"6503","Community Affairs and Outreach","A Livable and Sustainable City"
"6504","AIDS Coordinator's Office","A Livable and Sustainable City"
"6550","General Administration and Support",""
"6601","Public Safety Employment","A Safe City"
"6602","Employee Selection","A Well Run City"
"6603","Workers' Compensation and Safety","A Well Run City"
"6604","Employee Benefits","A Well Run City"
"6605","Occupational Health","A Well Run City"
"6606","Custody Medical Care","A Safe City"
"6607","Equal Employment Opportunity","A Well Run City"
"6608","Employee Training and Development","A Well Run City"
"6609","Liaison Services","A Well Run City"
"6650","General Administration and Support",""
"6801","Citywide Planning","A Livable and Sustainable City"
"6802","Community Planning","A Livable and Sustainable City"
"6803","Historic Resources","A Livable and Sustainable City"
"6804","Development Services","A Prosperous City"
"6805","Neighborhood Initiatives and Transit Oriented Planning","A Livable and Sustainable City"
"6806","Geographic Project Planning","A Prosperous City"
"6807","Major Projects and Project Plan Support","A Prosperous City"
"6849","Technology Support",""
"6850","General Administration and Support",""
"7001","Field Forces","A Safe City"
"7003","Specialized Investigation","A Safe City"
"7004","Custody of Persons and Property","A Safe City"
"7005","Traffic Control","A Safe City"
"7006","Specialized Enforcement and Protection","A Safe City"
"7047","Personnel Training and Support",""
"7048","Departmental Support",""
"7049","Technology Support",""
"7050","General Administration and Support",""
"7051","Internal Integrity and Standards Enforcement",""
"7401","Office of Community Beautification","A Livable and Sustainable City"
"7402","Project Restore","A Livable and Sustainable City"
"7403","Public Works Accounting","A Livable and Sustainable City"
"7405","Public Works Board and Board Secretariat","A Livable and Sustainable City"
"7406","Petroleum and Natural Gas Administration and Safety","A Safe City"
"7449","Public Works Financial Systems","A Livable and Sustainable City"
"7601","Construction Inspection","A Livable and Sustainable City"
"7602","Contract Compliance","A Prosperous City"
"7650","General Administration and Support",""
"7803","Clean Water Infrastructure","A Livable and Sustainable City"
"7804","Development Services and Permits","A Livable and Sustainable City"
"7805","Mobility","A Livable and Sustainable City"
"7807","Public Buildings and Open Spaces","A Livable and Sustainable City"
"7812","Sidewalks and Complete Streets","A Livable and Sustainable City"
"7850","General Administration and Support",""
"8201","Watershed Protection","A Livable and Sustainable City"
"8202","Clean Water","A Livable and Sustainable City"
"8203","Solid Resources","A Livable and Sustainable City"
"8204","Environmental Quality","A Livable and Sustainable City"
"8249","Technology Support",""
"8250","General Administration and Support",""
"8401","Design and Construction","A Livable and Sustainable City"
"8402","System Operation, Maintenance, and Repair","A Safe City"
"8403","Street Lighting Assessment","A Well Run City"
"8450","General Administration and Support",""
"8601","Weed Abatement, Brush, and Debris Removal","A Livable and Sustainable City"
"8602","Investigation and Enforcement","A Livable and Sustainable City"
"8603","Street Sweeping","A Livable and Sustainable City"
"8604","Street Tree and Parkway Maintenance","A Livable and Sustainable City"
"8605","Maintaining Streets","A Livable and Sustainable City"
"8606","Pavement Preservation","A Livable and Sustainable City"
"8607","Street Improvement Construction","A Livable and Sustainable City"
"8608","Street Improvement Engineering","A Livable and Sustainable City"
"8650","General Administration and Support",""
"8701","Animal General Care","A Livable and Sustainable City"
"8702","Animal Health Care","A Livable and Sustainable City"
"8703","Admissions","A Livable and Sustainable City"
"8704","Grounds Maintenance","A Livable and Sustainable City"
"8705","Custodial Services","A Livable and Sustainable City"
"8706","Public Relations and Marketing","A Livable and Sustainable City"
"8707","Education","A Livable and Sustainable City"
"8708","Planning, Development and Construction","A Livable and Sustainable City"
"8749","Technology Support",""
"8750","General Administration and Support",""
"8801","Museums and Educational","A Livable and Sustainable City"
"8802","Griffith Observatory","A Livable and Sustainable City"
"8807","Aquatics","A Livable and Sustainable City"
"8809","Building and Facilities Maintenance","A Livable and Sustainable City"
"8810","Land Maintenance","A Livable and Sustainable City"
"8811","Capital Projects and Planning","A Livable and Sustainable City"
"8812","Expo Center","A Livable and Sustainable City"
"8813","Partnerships, Grants, and Sponsorships","A Livable and Sustainable City"
"8820","Recreational Programming","A Livable and Sustainable City"
"8821","Venice Beach","A Livable and Sustainable City"
"8822","Utilities and Sanitation Services","A Livable and Sustainable City"
"8823","Public Safety","A Livable and Sustainable City"
"8824","City Services","A Livable and Sustainable City"
"8849","Information Technology",""
"8850","General Administration and Support",""
"9401","Sustainable Transportation","A Livable and Sustainable City"
"9402","Transportation Planning and Land Use","A Livable and Sustainable City"
"9403","Transportation Infrastructure and Project Delivery","A Livable and Sustainable City"
"9404","Parking Facilities, Meters, and Operations","A Livable and Sustainable City"
"9405","Parking Enforcement Services","A Livable and Sustainable City"
"9406","Parking Citation Processing Services","A Livable and Sustainable City"
"9407","Streets and Sign Management","A Livable and Sustainable City"
"9408","District Offices","A Livable and Sustainable City"
"9409","Traffic Signals and Systems","A Livable and Sustainable City"
"9412","Public Transit Services","A Livable and Sustainable City"
"9413","Major Project Coordination","A Livable and Sustainable City"
"9414","Emergency Management and Special Events","A Livable and Sustainable City"
"9416","Active Transportation","A Livable and Sustainable City"
"9417","Crossing Guard Services","A Livable and Sustainable City"
"9449","Technology Support",""
"9450","General Administration and Support",""
