"column","entity","text"
"program_name","Financial Reporting of City and Grant Funds","This program provides leadership and guidance to City departments in the proper recording and reporting of financial data and ensures the City's compliance with accounting regulations. This program produces the City's Comprehensive Annual Financial Report, Preliminary Financial Report, Municipal Improvement Corporation of Los Angeles financial statements and State mandated reports, and timely cash and revenue forecasts. This program compiles the Schedule of Expenditures of Federal Awards and the Cost Allocation Plan for the City. This program ensures sufficient General Fund cash flow and General Obligation bond tax levy to meet obligations. Finally, this program provides check reconciliation services ensuring against fraudulent checks."
"program_name","Audits of City Departments and Programs","This program conducts risk-based audits in accordance with Government Auditing Standards to meet the Charter requirement for an established audit cycle to ensure that the performance, programs, and activities of every Department are audited on a regular basis and that City resources and funds are adequately safeguarded. These audits provide an independent assessment of existing controls and determine if Departments are operating efficiently and effectively and are producing the desired outcomes, as established by City leaders. They ensure that financial and operational activities are accurately reported and conform with applicable laws and regulations, and promote the effective use of City resources. Audits recommend improvements to operations that save taxpayer dollars and increase program outcomes, and hold Department management accountable for effecting positive change."
"program_name","Support of the City's Financial Systems","This program maintains the integrity of the various financial systems of the City housed in the Controller's Office, which include the Financial Management Systems (FMS) and peripheral systems such as the Supply Management System (SMS). FMS is the City's main business intelligence system for accounting and financial reporting."
"program_name","Citywide Payroll Administration","This program ensures timely and accurate processing and distribution of payments to employees, labor organizations, employee benefits vendors, garnishment benefactors, and Federal and State tax agencies. Timely and accurate payroll processing is critical for the City to avoid penalties and liabilities. The City's timekeeping and payroll system works in conjunction with other City systems to provide detailed labor cost data, time attendance tracking, and personnel rules enforcement."
"program_name","General Administration and Support","This program manages all functions in the Controller's Office to ensure Charter mandated responsibilities as Auditor and Accountant of the City of Los Angeles are carried out. This includes administrative support for both executive management and operations of the Controller's Office, including all aspects of personnel, budgeting, contracting, procurement and accounting, technical support, records retention, and facilities."
"program_name","Legislation and Policy Determination","This program sets policy, enacts City laws, determines legislative action and provides oversight of the City's departments in areas of municipal concern. This program houses the Council District Offices of the 15 elected Councilmembers and the Office of the Chief Legislative Analyst (CLA). The purpose of the CLA is to support the City Council in arriving at sound public policy by providing technical and policy analysis on issues before the Council."
"program_name","Community Arts","This program consists of a network of individuals and organizations anchored by City-owned cultural assets located in communities throughout Los Angeles that offer high-quality instruction in the arts; presents solo and group art exhibitions; creates outreach programs for underserved populations; develops special initiatives for young people; and supports numerous events during the year that celebrate the cultural diversity of the community. Services are provided through Department of Cultural Affairs-managed art centers and theaters and partnered facilities."
"program_name","Marketing and Development","This program involves collaboration with local, state, national, and international arts organizations to promote cultural awareness and increase access to arts and cultural opportunities in Los Angeles. This program undertakes fundraising initiatives to supplement the City's resources and support strategic partnerships with foundations, government agencies, corporations, and private individual donors. This program also manages all media relations, public relations, and communications for the Department."
"program_name","Public Art","This program significantly supports artists and cultural projects through five distinct types of arts programs: the Public Works Improvements Arts Program (more commonly known as Percent-for-Public-Art or Public % for Art), the Private Arts Development Fee Program, the Murals Program, and the City's Art Collection. The fifth program, Music LA, supports artists, cultural programming, and youth arts education by providing free to low-cost music education in underserved parts of the community.  This program also ensures the well-being of the public realm through the support of an informed architectural design-review process for municipal projects."
"program_name","Grants Program","This program provides a diverse portfolio of high-quality free or low-cost arts and cultural services for residents and visitors of all ages throughout the City.  Through a competitive peer-panel review process, the Department currently awards grant contracts for services to over 250 creative professionals and non-profit arts and cultural organizations in a variety of disciplines and categories including dance, music, media, visual arts, literature, educational programs, residencies, and professional fellowships."
"program_name","General Administration and Support","This program provides overall management and administrative support necessary for operation of the Department. Inclusive are executive management; the various administrative functions including budget, accounting, contract administration, payroll; and special projects."
"program_name","Public Safety Systems Development and Support","This program provides development and support for the Los Angeles Fire Department and Los Angeles Police Department dispatch systems and software applications, emergency operations systems, public safety portal, and the information technology used in the Emergency Operation Center."
"program_name","Public Safety Communications","This program provides engineering and technical support, and implementation of communications equipment in all City buildings, supports radio, microwave and avionics systems, and installs and maintains communications equipment in public safety vehicles and helicopters."
"program_name","Customer Engagement","This program operates and manages the City's 3-1-1 Call Center operations and develops, implements, and maintains technology solutions in support of the Call Center. This program provides a way to get connected to a wide variety of non-emergency City services and general information. City services can be requested directly, including bulky item pickup requests, inspection requests, graffiti cleanup requests, and reports of property violations. This program also operates and manages LA Cityview Channel 35 and Council Phone services, produces City-related programming content, and monitors compliance of local video and cable franchises regarding the payment of franchise fees and consumer services."
"program_name","Office Systems Support","The program provides support for and develops the City's e-mail and document management systems, provides server and desktop support for several departments, and develops and supports elected officials' websites and information technology equipment and applications. Included in this program is the Digital Inclusion Project, which provides refurbished computers to low income families."
"program_name","Systems Development and Support","This program designs, develops, implements, and supports major City applications for financial systems, budget, payroll, and procurement."
"program_name","Enterprise and Distributed Systems and Operation","This program operates and manages the City's mainframe and distributed server systems and associated functions including storage, security, remote access, internet filtering, and server virtualization efforts, and provides technology helpdesk services."
"program_name","Network Engineering and Operations","This program operates and maintains the City's voice and video communication systems, designs and manages voice and video infrastructure projects, and manages contracts related to these services."
"program_name","Data Engineering and Operations","This program operates and maintains the City's data and wireless communications systems and designs and manages network infrastructure projects."
"program_name","Business Applications and Web Services","This program designs, develops, and supports City applications for elected officials, various City departments, centralized data repositories, and core City websites."
"program_name","General Administration and Support","This program provides overall direction, control, and planning to carry out the department's programs and provides administrative support, including financial, contract administration, and payroll functions."
"program_name","History and Museums","This program manages El Pueblo's museums, coordinates exhibits and tours, conducts community outreach, and educates school children and the public on the historical significance of El Pueblo. This program also preserves, protects, and restores El Pueblo's historical assets."
"program_name","Marketing and Events","This program promotes El Pueblo as a universal destination to experience Los Angeles' multicultural past, present, and future, as well as coordinates special events, filming, and commercial use of the historic Monument, all of which generate parking and rental income to support cost-effective operations."
"program_name","Property Management","This program manages tenant relationships, buildings, infrastructure, and real property and ensures that El Pueblo is a safe destination for visitors."
"program_name","General Administration and Support","This program provides leadership and direction for El Pueblo, supports the El Pueblo de Los Angeles Historical Monument Authority Commission, and performs management and administrative support functions such as budget, accounting, systems, and payroll."
"program_name","Emergency Management","This program provides for preparation for and recovery from citywide emergencies by developing a citywide emergency plan, reviewing and testing departmental emergency plans, coordinating citywide emergency management training programs, providing community and emergency preparedness training for City employees, disseminating information and promoting emergency preparedness, and ensuring the readiness of the City's Emergency Operations Center."
"program_name","Employee Relations","This program determines representation units for City employees, arranges for elections in such units, determines the validity of charges of unfair practices by management or employee organizations, and maintains lists of impartial third parties for use in the resolution of impasses.  The Board is authorized to resolve matters relating to the composition of representation units and Unfair Employee Relations Practices (UERPs)."
"program_name","Arson Investigation and Counter-Terrorism","This program investigates incidents that may be related to terrorist activity, works closely with law enforcement and other terrorism preparedness groups, and investigates the causes of fires of undetermined, suspicious, or incendiary origin, explosions, and fires in which deaths, serious injuries, or extensive property damage have occurred.  Arson investigators interrogate witnesses and suspects, apprehend alleged offenders, and assist in prosecution of suspects."
"program_name","Fire Suppression","This program responds to all alarms and requests related to fire suppression, extinguishes fires, protects and salvages property, and rescues endangered individuals as required."
"program_name","Metropolitan Fire Communications","This program is responsible for dispatching resources and equipment to emergencies. This program was previously titled Operations Control and Dispatch."
"program_name","Hazardous Materials Enforcement","This program enforces regulation of storage, use, and handling of hazardous materials and substances to ensure compliance with the Fire Code."
"program_name","Fire Prevention","This program provides sworn inspection services to promote the prevention of fires and promote fire/life safety. This program was previously titled Inspection of Existing Structures, Devices, and Materials."
"program_name","Emergency Medical Service","This program provides basic and advanced medical life support intervention, emergency medical and/or paramedic treatment at the scene of accidents or illnesses, transportation to the nearest qualified medical facility, and rescue."
"program_name","Training","This program is responsible for the planning, coordination, development, implementation, and evaluation of Department training programs, performs recruitment, assists with selection, trains recruits, provides quality assurance, and oversees the Public Access Defibrillator Program."
"program_name","Procurement, Maintenance and Repair","This program manages the procurement, maintenance, and repair of fire apparatus and emergency and non-emergency equipment.  It is also responsible for purchasing, warehousing, and distribution of supplies."
"program_name","Technology Support","This program provides information technology and support for all aspects of department operations including, but not limited to, dispatching, emergency communications, fire prevention and inspection, training, equipment maintenance, supply management, and administration and planning."
"program_name","General Administration and Support","This program performs management and administrative functions including policy development, implementation and control, budget, administrative and personnel services, and operational planning."
"program_name","Revenue Management","This program collects delinquent business tax accounts and other delinquent accounts due to the City that are valued at $5,000 or greater. The program is also responsible for the development and implementation of the guidelines and strategies for improving billing and collection efforts, and provides recommendations for efficient organization of revenue collections."
"program_name","Treasury Services","This program provides management, implementation, coordination, and oversight of City treasury operations, banking relationships, merchant services, and other depository and disbursement services to support City departments."
"program_name","LATAX System Support","This program supports the maintenance, programming, and upgrade of the LATAX system for the efficient management and collection of tax revenue as well as the computer systems development and support for all Finance activities.  This program also provides for staff support related to processing of all lockbox, mailed, or web-submitted renewals and bill payments as well as departmental processing of penalty waivers, refunds, and document imaging."
"program_name","Customer Support","This program assists the public and business community with questions regarding taxes that are administered by Finance, Police, Fire, and Tobacco permits, and lifeline applications for other City departments."
"program_name","Investment","This program manages the City's Investment Program, which includes actively managing the City's multi-billion dollar General Pool and Special Funds investment portfolios, the purchase and/or reinvestment of City funds, selling or exchanging securities purchased, and depositing securities for safekeeping to the City custodial bank as part of its Securities Lending Program."
"program_name","Tax and Permit","This program provides administration and enforcement of the City's Business Tax, various users' taxes, and certain permits issued by regulatory departments.  These efforts ensure timely identification, assessment, and collection of taxes and permit fees due to the City."
"program_name","General Administration and Support","This program provides for management and control of the Office of Finance programs and administrative support activities including budget control and accounting."
"program_name","Custodial Services","This program maintains a clean and sanitary environment in City facilities including the Civic Center, police jails and stations, public libraries, animal shelters, LEED-certified buildings, and other facilities."
"program_name","Building Maintenance","This program is responsible for the health and safety-related maintenance, operation, and repair of over 850 City-owned or leased buildings."
"program_name","Construction Forces","This program performs remodeling, minor and major repairs, construction, and alterations and improvements at City-owned facilities."
"program_name","Real Estate Services","This program manages the City's real estate portfolio with services that include appraisals, title reports, sales and acquisitions, surplus property auctions, management of City-owned real property, and nuisance abatement. This program also manages leasing functions, conducts space planning and relocations, and maintains database of City-owned and leased properties."
"program_name","Parking Services","This program operates employee and commercial parking facilities including lots and garages for client departments such as Transportation, Recreation and Parks, El Pueblo, and the Library. This program also manages the Visitor Reservation Parking Program at all Downtown and Valley Civic Center facilities."
"program_name","Emergency Management and Special Services","This program administers the Emergency Response Program, Citywide Building Emergency Education Program and Access Management and Badging Program, coordinates events and filming activities, and facilitates equipment and event planning in support of elected officials, departments, and the community."
"program_name","Fleet Services","This program purchases, maintains, and performs required safety inspections on the City's fleet of vehicles and equipment for all Council-controlled departments and aircraft for the Los Angeles Police Department, Los Angeles Fire Department, and Department of Water and Power. This program also oversees a number of motor pool operations."
"program_name","Fuel and Environmental Compliance","This program manages the City's alternative fuel infrastructure program, acquires various petroleum products for Council-controlled departments, maintains fueling systems, and supports environmental compliance."
"program_name","Standards and Testing Services","This program provides quality control, quality assurance, and acceptance testing services. It also provides research and verification testing of new proposed construction materials for various City departments in the major fields of design, construction, and environmental control. "
"program_name","Supply Management","This program establishes contracts and oversees annual purchasing transactions for all Council-controlled departments, processes vendor payments, disposes of salvage equipment and materials, and manages warehousing and distribution of supplies and equipment through City warehouses. "
"program_name","Mail Services","This program sorts, delivers, and processes internal and outgoing business mail for all City departments using technology such as barcoding to reduce the City's postage costs."
"program_name","General Administration and Support","This program performs management and administrative support functions such as budget, accounting, administrative, and systems support services."
"program_name","Development and Finance","As a part of the Housing and Community Investment Department's reorganization efforts to align programs with core functions, the former Finance and Development Program is now the Development and Finance Program. This program provides affordable housing and tax-exempt bond financing, including Proposition HHH bond financing, and provides professional services to support rehabilitation and/or new construction of affordable and permanent supportive multi-family housing units."
"program_name","Asset Management","As a part of the Housing and Community Investment Department's reorganization efforts to align programs with core functions, the former Affordable Housing Asset Management Program is now the Asset Management Program. This program provides loan servicing and management of the City's affordable housing loan portfolio and ensures revenue generation, which represents a significant portion of the Department's income and also supports Citywide grant activities."
"program_name","Consolidated Planning","As a part of the Housing and Community Investment Department reorganization efforts to align programs with core functions, the former Strategic Planning and Policy Development Program is now the Consolidated Planning Program. This program includes the Grant Administration Unit, which reports on the City's fulfillment of grant requirements; the Planning Unit, which develops the City's Five-Year Housing and Community Development Consolidated Plan and the Annual Action Plans; and the Neighborhood Improvement Unit, which implements CDBG-funded capital projects, including acquisition, renovation, and construction of City or nonprofit-owned properties."
"program_name","Rent Stabilization","This program administers and enforces the Rent Stabilization Ordinance (RSO) by processing the registration of multi-family rental units and landlord applications for rent adjustments and no-fault evictions, issuing determinations on properties subject to the RSO and RSO exemptions, and investigating complaints regarding the RSO. In addition, this program provides education, workshops, and referrals for landlords and tenants about the RSO and other housing matters."
"program_name","Multi-family Residential Code Enforcement","This program provides systematic and compliant-based habitability inspections of multi-family residential properties with two or more rental units. The program is supported by a fee assessed to property owners of multi-family residential buildings."
"program_name","Code and Rent Compliance","The Code and Rent Compliance Program provides a variety of services that contribute to providing safe and habitable rental housing through the implementation of the Rent Escrow Account Program, Utility Maintenance Program, and Legal case preparation.  The program also bills for and collects fees related to over 150,000 rental properties citywide."
"program_name","Commissions and Community Engagement","This program provides administrative support to the Human Relations Commission, Affordable Housing Commission, Commission on the Status of Women, Commission on Community and Family Services, Community Action Board, and Transgender Advisory Council, and serves as policy advisor in the advancement of their respective missions.  This program also identifies racial and gender equity issues, provides policy assessments, and designs outreach tools to facilitate working with City departments and communities throughout the city."
"program_name","Program Operations","As a part of the Housing and Community Investment Department reorganization efforts to align programs with core functions, the former Monitoring and Technical Services Program is now the Program Operations Program. This program oversees the delivery of services funded from grants including the Community Development Block Grant, Housing Opportunities for Persons with AIDS, the Emergency Solutions Grant which is administered through the Los Angeles Homeless Services Authority, and the Community Services Block Grant. The services include counseling and case management, rental housing subsidies, social and supportive services, minor home repairs, neighborhood improvement construction, workshops for traffic safety and compliance with safety restraint laws, homeless services and prevention, and program and grant management."
"program_name","Housing Strategies and Services","This program conducts research and implements various programs to support stable and healthy neighborhoods in the City.  Specifically, this program implements the (1) Handyworker Program to assist seniors and the disabled, (2) Lead Program to mitigate lead-based paint hazards, (3) Low Income Purchase Assistance Program to create homeownership opportunities for low income families, (4) Neighborhood Stabilization Program to reverse the negative impacts of foreclosure and abandoned properties, and (5) Dispositions Program to redevelop vacant and/or under-utilized properties into affordable housing.  Additionally, this program nurtures and launches new strategies, partnerships, and financial models to advance affordable housing preservation and production in the City."
"program_name","Accessible Housing Program","The Accessible Housing Program (AcHP) ensures that people with disabilities have an equal opportunity to rent, use, and enjoy housing that has received financial or other assistance from the City of Los Angeles or the Community Redevelopment Agency of the City of Los Angeles.  The AcHP covers 730+ existing affordable rental housing developments built before April 2016 and all newly constructed or rehabilitated affordable housing built since then."
"program_name","Technology Support","This program developments, maintains, and supports the information systems and technology infrastructure for the entire Department."
"program_name","General Administration and Support","This program provides department-wide administrative services, including executive management, budget development, accounting and financial services, personnel administration, and administration of the Accessible Housing Program. The Accessible Housing Program is mandated by a settlement agreement to ensure persons with disabilities have access to the City's affordable housing programs and that 4,000 units are made fully accessible over the term of the agreement."
