"Department.Code","Department.Name","SubDept.Code","SubDept.Name","Program.Code","Program.Name","Performance.Measure.Code","Performance.Measure.Name","Unit","Budget","Performance.Measure.Amount"
"30","Cultural Affairs","30LVL5","Cultural Affairs","3003","Public Art","30ARTPROJECTS","Number of Public Art Projects Completed During the Year","","2012-13 Actuals",10
"30","Cultural Affairs","30LVL5","Cultural Affairs","3004","Grants Program","30RESIDENTS","Number of Los Angeles Residents and Visitors Served","in millions","2012-13 Actuals",3.1
"32","Information Technology Agency","32LVL5","Information Technology Agency","3203","3-1-1 Operations","32311CALLS","Percent of 3-1-1 Calls Answered","","2012-13 Actuals",63
"32","Information Technology Agency","32LVL5","Information Technology Agency","3204","Cable Television","32CH35PROG","Hours of Channel 35 Programming Produced","","2012-13 Actuals",200
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35COMMUNITYPLAN","Number of Neighborhood/Community Plans Prepared","","2012-13 Actuals",1
"38","Fire","38LVL5","Fire","3805","Hazardous Materials Enforcement","38REVENUE","Hazardous Materials Enforcement Revenue Collected","in millions","2012-13 Actuals",5.3
"38","Fire","38LVL5","Fire","3806","Fire Prevention","38INSPECTION","Percent of Construction Inspections Completed in 72 hours","","2012-13 Actuals",65
"39","Finance","39LVL5","Finance","3901","Revenue Management","39LIEN","Percent of Lien Cases Solved","","2012-13 Actuals",70
"39","Finance","39LVL5","Finance","3906","Customer Service","39CALLS","Percent of Call Center Calls Answered","","2012-13 Actuals",83
"39","Finance","39LVL5","Finance","3908","Investment","39COMPLIANCE","Percent Compliant with Investment Policies and Procedures","","2012-13 Actuals",100
"39","Finance","39LVL5","Finance","3909","Tax and Permit","39AUDIT","Percent of Accounts Audited","","2012-13 Actuals",6.5
"40","General Services","40LVL5","General Services","4001","Custodial Services","40CLEAN","Percent of Municipal Facilities Cleaned Daily ","","2012-13 Actuals",100
"40","General Services","40LVL5","General Services","4005","Parking Services","40PARKINGREV","Revenue from Department-Operated Parking Facilities","in millions of dollars","2012-13 Actuals",12.1
"40","General Services","40LVL5","General Services","4007","Emergency Management and Special Services","40DRILLS1","Number of Required Biannual Emergency Drills Completed","at Six City Highrise Buildings","2012-13 Actuals",11
"40","General Services","40LVL5","General Services","4008","Fleet Services","40BOSVEHICLES","Vehicle Availability Rate for Bureau of Sanitation","percentage","2012-13 Actuals",85
"40","General Services","40LVL5","General Services","4009","Fuel and Environmental Compliance","40FUELSITE","Percent of City-Owned Fuel Sites Inspected Monthly","","2012-13 Actuals",98
"40","General Services","40LVL5","General Services","4010","Standards and Testing Services","40MATTEST","Number of Materials Tested for Pavement Preservation Program","","2012-13 Actuals",136378
"40","General Services","40LVL5","General Services","4011","Supply Management","40POS","Number of Days to Process Purchase Orders under $100,000 ","","2012-13 Actuals",27
"40","General Services","40LVL5","General Services","4012","Mail Services","40POSTAGE","Postage Savings Derived from the Mail Automation Program","in millions of dollars","2012-13 Actuals",1.2
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4305","Rent Stabilization","43TENANT","Percent of Tenant Rent Complaints Resolved Within 120 Days","","2012-13 Actuals",75
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4306","Multi-family Residential Code Enforcement","43SCEPUNIT","Systematic Code Enforcement Program (SCEP) Units Inspected","","2012-13 Actuals",179728
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4307","Code and Rent Compliance","43RENTAL","Rental Units Restored to Safe Living Conditions","","2012-13 Actuals",9685
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4311","Monitoring and Technical Services","43DVVICTIM","Number of Domestic Violence Victims Served through Program","","2012-13 Actuals",1540
"44","Library","44LVL5","Library","4401","Branch Library Services","44BRANCH","Number of People Attending Branch Library Services","","2012-13 Actuals",337260
"44","Library","44LVL5","Library","4402","Central Library Services","44CENTRAL","Number of People Attending Central Library Services","","2012-13 Actuals",22951
"48","Convention and Tourism Development","48LVL5","Convention and Tourism Development","4803","Convention and Tourism Development","48LEISUREJOBS","Number of Leisure and Hospitality Jobs in Los Angeles County","","2012-13 Actuals",426825
"65","Disability","65LVL5","Disability","6504","AIDS Coordinator's Office","65SYRINGE","Number of Syringes Removed","in millions","2012-13 Actuals",0.97
"66","Personnel","66LVL5","Personnel","6601","Public Safety Employment","66POLICEHIRE","Number of Police Officers Hired Pursuant to LAPD Hiring Plan","","2012-13 Actuals",303
"66","Personnel","66LVL5","Personnel","6605","Occupational Health","66CLINIC","Wait Time at Clinic for Exam","in minutes","2012-13 Actuals",65
"66","Personnel","66LVL5","Personnel","6606","Custody Medical Care","66ARRESTEE","Time to Medically Clear Arrestees in City Jails","in minutes","2012-13 Actuals",9.5
"66","Personnel","66LVL5","Personnel","6607","Equal Employment Opportunity","66EEOCOMPLAIN","Percent of Complainants Contacted Within 10 Days","","2012-13 Actuals",79
"66","Personnel","66LVL5","Personnel","6608","Employee Training and Development","66ONLINE","Number of Non-Mandated Courses Completed Online","","2012-13 Actuals",951
"68","City Planning","68LVL5","City Planning","6802","Community Planning","68COMMUNITYPLANS","Number of Community Plans Less Than Ten Years Old","","2012-13 Actuals",3
"68","City Planning","68LVL5","City Planning","6803","Historic Resources","68CERTIFICATE","Percent of Certificate Cases Completed within 75 Days","","2012-13 Actuals",71
"68","City Planning","68LVL5","City Planning","6806","Geographic Project Planning","68CASES","Annual Number of Cases Completed","","2012-13 Actuals",1549
"70","Police","70LVL5","Police","7001","Field Forces","70CRIME","Total Number of Crime Incidents","","2012-13 Actuals",106025
"70","Police","70LVL5","Police","7003","Specialized Investigation","70GANG","Number of Gang-Related Homicides","","2012-13 Actuals",160
"70","Police","70LVL5","Police","7004","Custody of Persons and Property","70BOOKING","Average Processing Time for Non-Medical Bookings","in minutes","2012-13 Actuals",19
"70","Police","70LVL5","Police","7005","Traffic Control","70HITRUN","Number of Traffic Hit and Run Collisions","","2012-13 Actuals",20578
"70","Police","70LVL5","Police","7006","Specialized Enforcement and Protection","70ARRESTS","Metropolitan Division Felony and Misdemeanor Arrests","","2012-13 Actuals",3565
"70","Police","70LVL5","Police","7047","Personnel Training and Support","70WORKERCOMP","Number of Workers' Compensation Claims","","2012-13 Actuals",3582
"70","Police","70LVL5","Police","7051","Internal Integrity and Standards Enforcement","70INTERNAL","Internal Affairs Investigations Closed within Five Months","percentage","2012-13 Actuals",24
"74","Board of Public Works","74LVL5","Board of Public Works","7401","Office of Community Beautification","74GRAFFITI","Percent of Graffiti Removal Requests Completed in 48 Hours","","2012-13 Actuals",69
"74","Board of Public Works","74LVL5","Board of Public Works","7403","Public Works Accounting","74PAYMENTS","Percentage of All Payments Processed within 30 Days","","2012-13 Actuals",64
"74","Board of Public Works","74LVL5","Board of Public Works","7405","Public Works Board and Board Secretariat","74JOURNALS","Percent of Board Meeting Journals Posted within 24 Hours","","2012-13 Actuals",96
"76","Bureau of Contract Administration","76LVL5","Bureau of Contract Administration","7601","Construction Inspection","76RETENTION","Number of Days for Final Retention Requests to be Processed","","2012-13 Actuals",50
"76","Bureau of Contract Administration","76LVL5","Bureau of Contract Administration","7602","Contract Compliance","76LOCALHIRE","Percent of Hours Worked by Local Hires at PLA Projects","","2012-13 Actuals",42
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7803","Clean Water Infrastructure","78WATER","Number of Completed Clean Water Capital Projects","","2012-13 Actuals",58
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7804","Development Services and Permits","78APERMIT","Percent of A Permits Issued within 60 Minutes","","2012-13 Actuals",98
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7805","Mobility","78MOBILITY","Number of Completed Mobility Capital Projects","","2012-13 Actuals",21
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7807","Public Buildings and Open Spaces","78BUILDING","Number of Completed Building & Open Spaces Capital Projects","","2012-13 Actuals",37
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8201","Watershed Protection","82CATCHBASIN","Number of Catch Basins Cleaned ","","2012-13 Actuals",63001
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8202","Clean Water","82SEWER","Sewer Miles Cleaned","","2012-13 Actuals",6119
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8203","Solid Resources","82RECYCLING","Citywide Recycling Diversion Rate","percentage","2012-13 Actuals",76
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8401","Design and Construction","84LEDPERCENT","Percentage of Streetlights Converted to LED","","2012-13 Actuals",65
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8402","System Operation, Maintenance, and Repair","84OUTAGE","Single Streetlight Outage Response Time","in working days","2012-13 Actuals",3.6
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8403","Street Lighting Assessment","84SLMAF","Street Lighting Maintenance Assessment Fund Revenue","","2012-13 Actuals",45.8
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8602","Investigation and Enforcement","86PERMIT","Number of Permits and Notices Issued","","2012-13 Actuals",47412
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8603","Street Cleaning","86SWEEPING","Percent of Posted Street Sweeping Routes Completed ","","2012-13 Actuals",97
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8606","Pavement Preservation","86SLURRY","Number of Lane Miles Resurfaced and Slurry Sealed","","2012-13 Actuals",2189
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8607","Street Improvement Construction","86ACCESS","Number of Pedestrian Access Ramps Installed","","2012-13 Actuals",1560
"87","Zoo","87LVL5","Zoo","8703","Admissions","87ONLINE","Percent of Ticket Sale Transactions Conducted Online","","2012-13 Actuals",5
"87","Zoo","87LVL5","Zoo","8706","Public Relations and Marketing","87FILM","Number of Commercial Film Shoots at the Zoo","","2012-13 Actuals",8
"88","Recreation and Parks","88LVL5","Recreation and Parks","8801","Museums and Educational","88MUSEUM","Number of Annual Museum Visitors","Excluding Griffith Observatory","2012-13 Actuals",310000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8802","Griffith Observatory","88GRIFFITH","Number of Griffith Observatory Visitors","","2012-13 Actuals",1033429
"88","Recreation and Parks","88LVL5","Recreation and Parks","8807","Aquatics","88AQUATIC","Total Attendance at City Aquatic Facilities","","2012-13 Actuals",1327220
"88","Recreation and Parks","88LVL5","Recreation and Parks","8809","Building and Facilities Maintenance","88JOBORDER","Maintenance Job Orders Completed","","2012-13 Actuals",23458
"94","Transportation","94LVL5","Transportation","9402","Transit Planning and Land Use","94STUDIES","Percent of Traffic Studies Processed within 90 Business Days","","2012-13 Actuals",94
"94","Transportation","94LVL5","Transportation","9403","Transportation Infrastructure and Project Delivery","94GRANTS","Number of Projects Successful in Securing Grant Funding","","2012-13 Actuals",15
"94","Transportation","94LVL5","Transportation","9404","Parking Facilities, Meters, and Operations","94METERS","Percent of Time Parking Meters are Functioning Properly","","2012-13 Actuals",97.7
"94","Transportation","94LVL5","Transportation","9406","Parking Citation Processing Services","94TICKET","Two Year Parking Ticket Collection Rate","percentage","2012-13 Actuals",86
"94","Transportation","94LVL5","Transportation","9408","District Offices","94SERVICE","Number of Service Requests Closed","","2012-13 Actuals",11237
"94","Transportation","94LVL5","Transportation","9409","Traffic Signals and Systems","94SIGNAL","Percent of Signal Calls Responded to Within One Hour","","2012-13 Actuals",54
"94","Transportation","94LVL5","Transportation","9412","Public Transit Services","94TRANSIT","Percent of LADOT Transit On-Time Arrivals ","","2012-13 Actuals",93
"94","Transportation","94LVL5","Transportation","9413","Major Project Coordination","94METRO","Percent of Metro Plans Reviewed within 20 Business Days","","2012-13 Actuals",96
"94","Transportation","94LVL5","Transportation","9416","Active Transportation","94BIKELANE","Number of Miles of Bike Lanes and Paths in the City ","","2012-13 Actuals",457
"2","Aging","02LVL5","Aging","201","Senior Services","02MEALS","Number of Home Delivered and Congregate Meals Provided","","2013-14 Actuals",1467375
"2","Aging","02LVL5","Aging","202","Family Caregiver Services","02CAREGIVER","Number of Participants in Caregiver Information Sessions","","2013-14 Actuals",8490
"2","Aging","02LVL5","Aging","203","Older Workers Program","02OLDERWORKER","Number of Participants in the Older Workers Program","","2013-14 Actuals",180
"6","Animal Services","06LVL5","Animal Services","601","Animal Control and Law Enforcement","06LICENSE","Number of Animal Licenses Sold","","2013-14 Actuals",123008
"6","Animal Services","06LVL5","Animal Services","602","Shelter Operations and Animal Care","06LIVESAVE","Animal Live/Save Rate ","percentage","2013-14 Actuals",70.27
"6","Animal Services","06LVL5","Animal Services","607","Animal Medical Services","06SPAYNEUTER","Number of Spay/Neuter Surgeries","","2013-14 Actuals",5971
"6","Animal Services","06LVL5","Animal Services","609","Public Counters and Community Services","06VOLUNTEER","Number of Volunteer Hours","","2013-14 Actuals",52086
"8","Building and Safety","08LVL5","Building and Safety","811","Structural Plan Checking","08PLANCHECK","Percent of Plan Check Jobs Completed in 15 Days","","2013-14 Actuals",88
"8","Building and Safety","08LVL5","Building and Safety","812","Green Buildings and Electrical and Mechanical Engineering","08MECHPLANCK","Percent of Mechanical Plan Check Jobs Completed in 15 Days","","2013-14 Actuals",89
"8","Building and Safety","08LVL5","Building and Safety","813","Grading Reports and Inspection","08GRADEREPORT","Percent of New Grading Reports Completed in 30 Days","","2013-14 Actuals",82
"8","Building and Safety","08LVL5","Building and Safety","814","Residential Inspection","08RESINSPECT","Percent of Residential Inspections Completed in 24 Hours","","2013-14 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","815","Commercial Inspection and Licensing","08PLUMBINSPECT","Percent of Plumbing Inspections Completed in 24 Hours","","2013-14 Actuals",94
"8","Building and Safety","08LVL5","Building and Safety","816","Development Services Case Management","08CASEMGMT","Percent of Case Management Projects Contacted in 5 Days","","2013-14 Actuals",100
"8","Building and Safety","08LVL5","Building and Safety","817","Residential and Commercial Code Enforcement","08COMPLAINT","Percent of Code Enforcement Complaints Closed in 60 Days","","2013-14 Actuals",53
"8","Building and Safety","08LVL5","Building and Safety","818","Conservation of Existing Structures and Mechanical Devices","08RESPROPERTY","Percent of Residential Property Reports Completed in 15 Days","","2013-14 Actuals",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1001","Budget Formulation and Control","10RF%GF","Reserve Fund as a Percent of the Adopted General Fund Budget","","2013-14 Actuals",5.37
"14","City Clerk","14LVL5","City Clerk","1401","Council and Public Services","14CITYRECORDS","Number of City Records Viewed","","2013-14 Actuals",1223000
"14","City Clerk","14LVL5","City Clerk","1402","Administration of City Elections","14ADAPOLL","Number of Completed ADA Improvements to Polling Places","","2013-14 Actuals",0
"14","City Clerk","14LVL5","City Clerk","1405","Records Management","14ARCHIVAL","Number of Archival Documents and Records Digitized on Demand","","2013-14 Actuals",790
"14","City Clerk","14LVL5","City Clerk","1406","Special Assessments","14ANNUALPLAN","Number of Annual Planning Reports Submitted by March 1","","2013-14 Actuals",0
"14","City Clerk","14LVL5","City Clerk","1407","Mayor and City Council Administrative Support","14ACCOUNTING","Number of Accounting Documents Processed","","2013-14 Actuals",15832
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2202","Adult Workforce Development","22ADULTJOBS","Number of WIA-Funded Adults Placed in Jobs","","2013-14 Actuals",1386
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2205","Economic Development","22NEWJOBS","Number of New Jobs Created Through Business Source Centers","","2013-14 Actuals",331
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2207","Youth Workforce Development","22HIRELA","Number of HireLA's Youth Placed in Employment","","2013-14 Actuals",10256
"26","Controller","26LVL5","Controller","2601","Accounting and Disbursement of City Funds","26DISBURSEMENTS","Paymaster Disbursements","","2013-14 Actuals",330053
"26","Controller","26LVL5","Controller","2602","Financial Reporting of City and Grant Funds","26FINREPORTS","Percent of Financial Reports Submitted On Time","","2013-14 Actuals",100
"26","Controller","26LVL5","Controller","2603","Audits of City Departments and Programs","26AUDITS","Number of Audit Recommendations","","2013-14 Actuals",103
"26","Controller","26LVL5","Controller","2604","Support of the City's Financial Systems","26FINSYSSUPP","Number of Documents Generated in FMS","","2013-14 Actuals",592723
"30","Cultural Affairs","30LVL5","Cultural Affairs","3001","Community Arts","30ARTFACILITIES","Number of Individuals Served by Arts Facilities and Centers","","2013-14 Actuals",0
"30","Cultural Affairs","30LVL5","Cultural Affairs","3002","Marketing and Development","30LEVERAGED","Donations Received as a Percent of DCA Operating Budget","","2013-14 Actuals",7.2
"30","Cultural Affairs","30LVL5","Cultural Affairs","3003","Public Art","30ARTPROJECTS","Number of Public Art Projects Completed During the Year","","2013-14 Actuals",10
"30","Cultural Affairs","30LVL5","Cultural Affairs","3004","Grants Program","30RESIDENTS","Number of Los Angeles Residents and Visitors Served","in millions","2013-14 Actuals",3.1
"32","Information Technology Agency","32LVL5","Information Technology Agency","3201","Public Safety Systems Development and Support","32PSSYSTEMS","Percent of System Availability for Public Safety Systems","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3202","Public Safety Communications","32PSRADIO","Percent of System Availability for LAFD & LAPD Radio Systems","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3203","3-1-1 Operations","32311CALLS","Percent of 3-1-1 Calls Answered","","2013-14 Actuals",89
"32","Information Technology Agency","32LVL5","Information Technology Agency","3204","Cable Television","32CH35PROG","Hours of Channel 35 Programming Produced","","2013-14 Actuals",200
"32","Information Technology Agency","32LVL5","Information Technology Agency","3206","Office Systems Support","32EMAIL","Percent of Email System Availability","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3207","Systems Development and Support","32LATAX","Percent of LATAX System Availability in Tax Renewal Season","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","32DATACENTER","Percent of Data Center Servers Virtualized","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3209","Network Engineering and Operations","32VOICE","Percent of Voice, Call Center, & Video Systems Availability","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3210","Data Engineering and Operations","32NETWORK","Percent of Network Availability","","2013-14 Actuals",0
"32","Information Technology Agency","32LVL5","Information Technology Agency","3211","Business Applications and Web Services","32WEBSITE","Percent of LACity.org Website Availability","","2013-14 Actuals",0
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3301","History and Museums","33ELPTOURS","Number of Tours at the El Pueblo Monument ","","2013-14 Actuals",0
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3302","Marketing and Events","33ELPATTEND","Number of Cultural, Traditional, and Informational Attendees","","2013-14 Actuals",0
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35COMMUNITYPLAN","Number of Neighborhood/Community Plans Prepared","","2013-14 Actuals",1
"38","Fire","38LVL5","Fire","3805","Hazardous Materials Enforcement","38REVENUE","Hazardous Materials Enforcement Revenue Collected","in millions","2013-14 Actuals",5.4
"38","Fire","38LVL5","Fire","3806","Fire Prevention","38INSPECTION","Percent of Construction Inspections Completed in 72 hours","","2013-14 Actuals",65
"39","Finance","39LVL5","Finance","3901","Revenue Management","39LIEN","Percent of Lien Cases Solved","","2013-14 Actuals",78
"39","Finance","39LVL5","Finance","3902","Treasury Services","39TREASURY","Percent of Treasury Management Requests Resolved in One Day","","2013-14 Actuals",90
"39","Finance","39LVL5","Finance","3906","Customer Service","39CALLS","Percent of Call Center Calls Answered","","2013-14 Actuals",82
"39","Finance","39LVL5","Finance","3908","Investment","39COMPLIANCE","Percent Compliant with Investment Policies and Procedures","","2013-14 Actuals",100
"39","Finance","39LVL5","Finance","3909","Tax and Permit","39AUDIT","Percent of Accounts Audited","","2013-14 Actuals",6.98
"40","General Services","40LVL5","General Services","4001","Custodial Services","40CLEAN","Percent of Municipal Facilities Cleaned Daily ","","2013-14 Actuals",100
"40","General Services","40LVL5","General Services","4002","Building Maintenance","40MAINTENANCE","Percent of Maintenance Work Requests Completed ","","2013-14 Actuals",65
"40","General Services","40LVL5","General Services","4005","Parking Services","40PARKINGREV","Revenue from Department-Operated Parking Facilities","in millions of dollars","2013-14 Actuals",13.2
"40","General Services","40LVL5","General Services","4007","Emergency Management and Special Services","40DRILLS1","Number of Required Biannual Emergency Drills Completed","at Six City Highrise Buildings","2013-14 Actuals",12
"40","General Services","40LVL5","General Services","4008","Fleet Services","40BOSVEHICLES","Vehicle Availability Rate for Bureau of Sanitation","percentage","2013-14 Actuals",83
"40","General Services","40LVL5","General Services","4009","Fuel and Environmental Compliance","40FUELSITE","Percent of City-Owned Fuel Sites Inspected Monthly","","2013-14 Actuals",100
"40","General Services","40LVL5","General Services","4010","Standards and Testing Services","40MATTEST","Number of Materials Tested for Pavement Preservation Program","","2013-14 Actuals",131289
"40","General Services","40LVL5","General Services","4011","Supply Management","40POS","Number of Days to Process Purchase Orders under $100,000 ","","2013-14 Actuals",28
"40","General Services","40LVL5","General Services","4012","Mail Services","40POSTAGE","Postage Savings Derived from the Mail Automation Program","in millions of dollars","2013-14 Actuals",1.3
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4301","Finance and Development","43AFFORDABLE","Affordable Housing Units Completed","","2013-14 Actuals",0
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4305","Rent Stabilization","43TENANT","Percent of Tenant Rent Complaints Resolved Within 120 Days","","2013-14 Actuals",88
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4306","Multi-family Residential Code Enforcement","43SCEPUNIT","Systematic Code Enforcement Program (SCEP) Units Inspected","","2013-14 Actuals",165166
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4307","Code and Rent Compliance","43RENTAL","Rental Units Restored to Safe Living Conditions","","2013-14 Actuals",10231
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4311","Monitoring and Technical Services","43DVVICTIM","Number of Domestic Violence Victims Served through Program","","2013-14 Actuals",1632
"44","Library","44LVL5","Library","4401","Branch Library Services","44BRANCH","Number of People Attending Branch Library Services","","2013-14 Actuals",354815
"44","Library","44LVL5","Library","4402","Central Library Services","44CENTRAL","Number of People Attending Central Library Services","","2013-14 Actuals",42660
"47","Neighborhood Empowerment","47LVL5","Neighborhood Empowerment","4703","Planning and Policy","47CIS","Number of Community Impact Statements Submitted by NCs","","2013-14 Actuals",152
"48","Convention and Tourism Development","48LVL5","Convention and Tourism Development","4803","Convention and Tourism Development","48LEISUREJOBS","Number of Leisure and Hospitality Jobs in Los Angeles County","","2013-14 Actuals",441983
"65","Disability","65LVL5","Disability","6504","AIDS Coordinator's Office","65SYRINGE","Number of Syringes Removed","in millions","2013-14 Actuals",1.1
"66","Personnel","66LVL5","Personnel","6601","Public Safety Employment","66POLICEHIRE","Number of Police Officers Hired Pursuant to LAPD Hiring Plan","","2013-14 Actuals",280
"66","Personnel","66LVL5","Personnel","6602","Employee Selection","66EXAM","Percent of Exams Completed in 150 Days","","2013-14 Actuals",79
"66","Personnel","66LVL5","Personnel","6603","Workers' Compensation and Safety","66WCCOST","Amount of Monthly Workers' Compensation Costs Avoided","","2013-14 Actuals",1400000
"66","Personnel","66LVL5","Personnel","6604","Employee Benefits","66VANPOOL","Percent Increase in Vanpool Participants","","2013-14 Actuals",0
"66","Personnel","66LVL5","Personnel","6605","Occupational Health","66CLINIC","Wait Time at Clinic for Exam","in minutes","2013-14 Actuals",90
"66","Personnel","66LVL5","Personnel","6606","Custody Medical Care","66ARRESTEE","Time to Medically Clear Arrestees in City Jails","in minutes","2013-14 Actuals",11
"66","Personnel","66LVL5","Personnel","6607","Equal Employment Opportunity","66EEOCOMPLAIN","Percent of Complainants Contacted Within 10 Days","","2013-14 Actuals",80
"66","Personnel","66LVL5","Personnel","6608","Employee Training and Development","66ONLINE","Number of Non-Mandated Courses Completed Online","","2013-14 Actuals",4119
"68","City Planning","68LVL5","City Planning","6802","Community Planning","68COMMUNITYPLANS","Number of Community Plans Less Than Ten Years Old","","2013-14 Actuals",2
"68","City Planning","68LVL5","City Planning","6803","Historic Resources","68CERTIFICATE","Percent of Certificate Cases Completed within 75 Days","","2013-14 Actuals",43
