"Department.Code","Department.Name","Program.Code","Program.Name","Fund.Code","Source.Fund.Code","Source.Fund.Name","Account.Code","Account.Name","Budget","Positions"
"22","Economic and Workforce Development","2203","Family Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",35
"22","Economic and Workforce Development","2203","Family Services","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",28
"22","Economic and Workforce Development","2204","Citywide Grants Coordination","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",23
"22","Economic and Workforce Development","2205","Economic Development","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",29
"22","Economic and Workforce Development","2206","Office of Neighborhood Empowerment","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",7
"22","Economic and Workforce Development","2249","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",7
"22","Economic and Workforce Development","2249","Technology Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",3
"22","Economic and Workforce Development","2250","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",29
"22","Economic and Workforce Development","2250","General Administration and Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",4
"26","Controller","2601","Accounting and Disbursement of City Funds","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",58
"26","Controller","2602","Financial Reporting of City and Grant Funds","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",20
"26","Controller","2603","Audits of City Departments and Programs","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",30
"26","Controller","2604","Support of the City's Financial Systems","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",22
"26","Controller","2604","Support of the City's Financial Systems","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",23
"26","Controller","2650","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",22
"28","Council","2801","Legislation and Policy Determination","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",108
"30","Cultural Affairs","3001","Community Arts","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",3
"30","Cultural Affairs","3001","Community Arts","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",7
"30","Cultural Affairs","3001","Community Arts","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",18
"30","Cultural Affairs","3002","Marketing and Development","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"30","Cultural Affairs","3003","Public Art","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",6
"30","Cultural Affairs","3004","Grants Program","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",3
"30","Cultural Affairs","3050","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",12
"32","Information Technology Agency","3201","Public Safety Systems Development and Support","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"32","Information Technology Agency","3201","Public Safety Systems Development and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",49
"32","Information Technology Agency","3201","Public Safety Systems Development and Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",6
"32","Information Technology Agency","3202","Public Safety Communications","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",109
"32","Information Technology Agency","3203","3-1-1 Operations","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",43
"32","Information Technology Agency","3203","3-1-1 Operations","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",1
"32","Information Technology Agency","3204","Cable Television","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",14
"32","Information Technology Agency","3205","IT Strategic Planning","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"32","Information Technology Agency","3206","Office Systems Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",51
"32","Information Technology Agency","3207","Systems Development and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",51
"32","Information Technology Agency","3207","Systems Development and Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",21
"32","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",77
"32","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",2
"32","Information Technology Agency","3209","Network Engineering and Operations","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",58
"32","Information Technology Agency","3250","General Administration and Support","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",-5
"32","Information Technology Agency","3250","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",27
"33","El Pueblo de Los Angeles","3301","History and Museums","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",9
"33","El Pueblo de Los Angeles","3301","History and Museums","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"33","El Pueblo de Los Angeles","3302","Marketing and Events","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"33","El Pueblo de Los Angeles","3348","Property Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",2
"33","El Pueblo de Los Angeles","3350","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",6
"35","Emergency Management","3501","Emergency Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",14
"35","Emergency Management","3501","Emergency Management","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"36","Employee Relations Board","3601","Employee Relations","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"36","Employee Relations Board","3601","Employee Relations","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",3
"38","Fire","3801","Arson Investigation and Counter-Terrorism","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"38","Fire","3801","Arson Investigation and Counter-Terrorism","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"38","Fire","3801","Arson Investigation and Counter-Terrorism","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",26
"38","Fire","3801","Arson Investigation and Counter-Terrorism","100","100","General Fund","RESSW","Sworn Resolution Authority Positions","2011-12 Adopted Budget",1
"38","Fire","3802","Legal, Liaison, and Research","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"38","Fire","3802","Legal, Liaison, and Research","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",10
"38","Fire","3803","Fire Suppression","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",318
"38","Fire","3803","Fire Suppression","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",10
"38","Fire","3803","Fire Suppression","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",2055
"38","Fire","3803","Fire Suppression","100","100","General Fund","RESSW","Sworn Resolution Authority Positions","2011-12 Adopted Budget",267
"38","Fire","3804","Metropolitan Fire Communications","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",7
"38","Fire","3804","Metropolitan Fire Communications","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",95
"38","Fire","3804","Metropolitan Fire Communications","100","100","General Fund","RESSW","Sworn Resolution Authority Positions","2011-12 Adopted Budget",1
"38","Fire","3805","Hazardous Materials Enforcement","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",12
"38","Fire","3805","Hazardous Materials Enforcement","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",20
"38","Fire","3806","Fire Prevention","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",17
"38","Fire","3806","Fire Prevention","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",97
"38","Fire","3807","New Construction Inspection","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",16
"38","Fire","3807","New Construction Inspection","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",26
"38","Fire","3808","Emergency Medical Service","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",13
"38","Fire","3808","Emergency Medical Service","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",782
"38","Fire","3847","Training","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",26
"38","Fire","3847","Training","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",64
"38","Fire","3848","Procurement, Maintenance and Repair","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",100
"38","Fire","3848","Procurement, Maintenance and Repair","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",12
"38","Fire","3849","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",32
"38","Fire","3849","Technology Support","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",4
"38","Fire","3850","General Administration and Support","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",2
"38","Fire","3850","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",84
"38","Fire","3850","General Administration and Support","100","100","General Fund","POSSW","Sworn Regular Authority Positions","2011-12 Adopted Budget",27
"38","Fire","3850","General Administration and Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"39","Finance","3901","Revenue Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",340
"39","Finance","3901","Revenue Management","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"39","Finance","3902","Treasury Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",27
"40","General Services","4001","Custodial Services","100","100","General Fund","POSPR","Printing Positions","2011-12 Adopted Budget",41
"40","General Services","4001","Custodial Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",302
"40","General Services","4002","Building Maintenance","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",144
"40","General Services","4003","Construction Forces","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"40","General Services","4004","Real Estate Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",18
"40","General Services","4005","Parking Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",27
"40","General Services","4006","Public Safety Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",225
"40","General Services","4007","Emergency Management and Special Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",6
"40","General Services","4008","Fleet Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",425
"40","General Services","4009","Fuel and Environmental Compliance","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",12
"40","General Services","4010","Standards and Testing Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",62
"40","General Services","4011","Supply Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",212
"40","General Services","4011","Supply Management","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",1
"40","General Services","4012","Mail Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",21
"40","General Services","4050","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",51
"43","Housing and Community Investment","4301","Finance and Development","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",14
"43","Housing and Community Investment","4301","Finance and Development","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",46
"43","Housing and Community Investment","4301","Finance and Development","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"43","Housing and Community Investment","4302","Affordable Housing Asset Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",32
"43","Housing and Community Investment","4303","Portfolio Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",14
"43","Housing and Community Investment","4303","Portfolio Management","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",3
"43","Housing and Community Investment","4304","Strategic Planning and Policy Development","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",16
"43","Housing and Community Investment","4304","Strategic Planning and Policy Development","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",3
"68","City Planning","6849","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",44
"43","Housing and Community Investment","4305","Rent Stabilization","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",77
"43","Housing and Community Investment","4305","Rent Stabilization","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",2
"43","Housing and Community Investment","4306","Multi-family Residential Code Enforcement","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",1
"43","Housing and Community Investment","4306","Multi-family Residential Code Enforcement","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",196
"43","Housing and Community Investment","4307","Code and Rent Compliance","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",54
"43","Housing and Community Investment","4308","Executive Management","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",34
"43","Housing and Community Investment","4308","Executive Management","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",5
"43","Housing and Community Investment","4309","Administrative Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",16
"43","Housing and Community Investment","4309","Administrative Services","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",2
"68","City Planning","6849","Technology Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",4
"43","Housing and Community Investment","4349","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",11
"43","Housing and Community Investment","4349","Technology Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"43","Housing and Community Investment","4350","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",38
"43","Housing and Community Investment","4350","General Administration and Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",9
"44","Library","4401","Branch Library Services","300","300","Library Other Revenue","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"44","Library","4401","Branch Library Services","300","300","Library Other Revenue","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",562
"44","Library","4402","Central Library Services","300","300","Library Other Revenue","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",154
"44","Library","4449","Technology Support","300","300","Library Other Revenue","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",72
"44","Library","4450","General Administration and Support","300","300","Library Other Revenue","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",40
"46","Mayor","4601","Office of the Mayor","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",94
"47","Neighborhood Empowerment","4701","Neighborhood Council System Development","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",7
"47","Neighborhood Empowerment","4701","Neighborhood Council System Development","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",10
"47","Neighborhood Empowerment","4702","Neighborhood Council Funding Program","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",2
"47","Neighborhood Empowerment","4703","Planning and Policy","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",-7
"47","Neighborhood Empowerment","4704","Neighborhood Council Administrative Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"47","Neighborhood Empowerment","4704","Neighborhood Council Administrative Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",3
"47","Neighborhood Empowerment","4749","Technology Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"47","Neighborhood Empowerment","4749","Technology Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",1
"47","Neighborhood Empowerment","4750","General Administration and Support","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",3
"47","Neighborhood Empowerment","4750","General Administration and Support","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",1
"48","Convention and Tourism Development","4801","Client Revenue Services","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",11
"48","Convention and Tourism Development","4801","Client Revenue Services","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",5
"48","Convention and Tourism Development","4801","Client Revenue Services","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",66
"48","Convention and Tourism Development","4801","Client Revenue Services","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",6
"48","Convention and Tourism Development","4802","Facility and Infrastructure Maintenance","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",10
"48","Convention and Tourism Development","4802","Facility and Infrastructure Maintenance","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",39
"48","Convention and Tourism Development","4802","Facility and Infrastructure Maintenance","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",5
"48","Convention and Tourism Development","4848","Human Resources","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",4
"48","Convention and Tourism Development","4850","Revenue Management and Fiscal Control","100","100","General Fund","POSAN","As Needed Positions","2011-12 Adopted Budget",4
"48","Convention and Tourism Development","4850","Revenue Management and Fiscal Control","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",24
"65","Disability","6501","ADA Compliance","100","100","General Fund","POSCOMM","Commissioner Positions","2011-12 Adopted Budget",9
"65","Disability","6501","ADA Compliance","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",3
"65","Disability","6502","Computerized Information Center For the Disabled","100","100","General Fund","RESSG","Civilian Resolution Authority Positions","2011-12 Adopted Budget",2
"65","Disability","6503","Community Affairs and Outreach","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
"65","Disability","6504","AIDS Coordinator's Office","100","100","General Fund","POSSG","Civilian Regular Authority Positions","2011-12 Adopted Budget",1
