"Dept.Code","Department.Name","Program.Code","Program.Name","Fund.Code","Fund.Name","Account.Code","Account.Name","Fiscal.Year","Revenue.Amount"
"10","City Administrative Officer","100","Management Services","General Fund","4597","Service To Harbor","1.01E+12","2014_15_actuals",335484
"10","City Administrative Officer","100","Management Services","General Fund","5301","Reimb From Other Funds","1.01E+12","2014_15_actuals",106749
"10","City Administrative Officer","100","Management Services","General Fund","5329","Rent Control Related Cost","1.01E+12","2014_15_actuals",15301
"10","City Administrative Officer","100","Management Services","General Fund","5341","Home Invest Prtnrship Rel Cost","1.01E+12","2014_15_actuals",6885
"10","City Administrative Officer","100","Management Services","General Fund","5351","Code Enforcement Rel Cost","1.01E+12","2014_15_actuals",42076
"10","City Administrative Officer","100","Management Services","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","1.01E+12","2014_15_actuals",76560
"10","City Administrative Officer","100","Employee Relations Compensation and Benefits","General Fund","5188","Miscellaneous Revenue-Others","1.01E+12","2014_15_actuals",23224
"10","City Administrative Officer","100","Office of Public Accountability","General Fund","4596","Service To Water & Power","1.01E+12","2014_15_actuals",1549283
"10","City Administrative Officer","100","General Administration and Support","General Fund","5188","Miscellaneous Revenue-Others","1.01E+12","2014_15_actuals",7782
"12","City Attorney","100","Criminal and Special Litigation","General Fund","3291","Tobacco Retailer Permits","1.21E+12","2014_15_actuals",1496018
"12","City Attorney","100","Criminal and Special Litigation","General Fund","4815","Fines And Penalties-Others","1.21E+12","2014_15_actuals",1859
"12","City Attorney","100","Criminal and Special Litigation","General Fund","4831","Forfeitures & Penalties","1.21E+12","2014_15_actuals",92213
"12","City Attorney","100","Criminal and Special Litigation","General Fund","5121","Damage Claims & Settlements","1.21E+12","2014_15_actuals",150000
"12","City Attorney","100","Criminal and Special Litigation","General Fund","5301","Reimb From Other Funds","1.21E+12","2014_15_actuals",2658238
"12","City Attorney","100","Criminal and Special Litigation","General Fund","5331","Reimb Of Related Cost-Pr Yr","1.21E+12","2014_15_actuals",554551
"12","City Attorney","100","Criminal and Special Litigation","General Fund","5361","Related Cost Reimb-Others","1.21E+12","2014_15_actuals",2186538
"12","City Attorney","100","Civil Liability Management","General Fund","4651","Miscellaneous Service Charges","1.21E+12","2014_15_actuals",775741
"12","City Attorney","100","Civil Liability Management","General Fund","5121","Damage Claims & Settlements","1.21E+12","2014_15_actuals",8912856
"12","City Attorney","100","Civil Liability Management","General Fund","5122","Attorney Fees","1.21E+12","2014_15_actuals",288892
"12","City Attorney","100","Civil Liability Management","General Fund","5125","City Atty Subrogation Revenue","1.21E+12","2014_15_actuals",1149676
"12","City Attorney","100","Civil Liability Management","General Fund","5161","Reimbursement Of Expenditures","1.21E+12","2014_15_actuals",5290
"12","City Attorney","100","Civil Liability Management","General Fund","5339","Telecom Liq Damages Rel Cost","1.21E+12","2014_15_actuals",6504
"12","City Attorney","100","Civil Liability Management","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1.21E+12","2014_15_actuals",28102
"12","City Attorney","100","Municipal Law","General Fund","4351","Ca Serv Rendered To Hsg Autho","1.21E+12","2014_15_actuals",1260935
"12","City Attorney","100","Municipal Law","General Fund","4599","Service To Pensions","1.21E+12","2014_15_actuals",809494
"12","City Attorney","100","Municipal Law","General Fund","4600","Service To Lacers","1.21E+12","2014_15_actuals",784141
"12","City Attorney","100","Municipal Law","General Fund","4651","Miscellaneous Service Charges","1.21E+12","2014_15_actuals",258581
"12","City Attorney","100","Municipal Law","General Fund","5328","Sewer Cons & Main Related Cost","1.21E+12","2014_15_actuals",237302
"12","City Attorney","100","Municipal Law","General Fund","5329","Rent Control Related Cost","1.21E+12","2014_15_actuals",85165
"12","City Attorney","100","Municipal Law","General Fund","5334","Community Dev Tr Related Cost","1.21E+12","2014_15_actuals",39153
"12","City Attorney","100","Municipal Law","General Fund","5339","Telecom Liq Damages Rel Cost","1.21E+12","2014_15_actuals",61786
"12","City Attorney","100","Municipal Law","General Fund","5340","Prop C Antigridlock Rel Cost","1.21E+12","2014_15_actuals",40206
"12","City Attorney","100","Municipal Law","General Fund","5341","Home Invest Prtnrship Rel Cost","1.21E+12","2014_15_actuals",44624
"12","City Attorney","100","Municipal Law","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1.21E+12","2014_15_actuals",63697
"12","City Attorney","100","Municipal Law","General Fund","5351","Code Enforcement Rel Cost","1.21E+12","2014_15_actuals",67664
"12","City Attorney","100","Municipal Law","General Fund","5355","Work Invest Act Rel Cost","1.21E+12","2014_15_actuals",61453
"12","City Attorney","100","Proprietary and Outside Counsel","General Fund","4595","Service To Airports","1.21E+12","2014_15_actuals",6469210
"12","City Attorney","100","Proprietary and Outside Counsel","General Fund","4596","Service To Water & Power","1.21E+12","2014_15_actuals",8453175
"12","City Attorney","100","Proprietary and Outside Counsel","General Fund","4597","Service To Harbor","1.21E+12","2014_15_actuals",3499526
"12","City Attorney","100","Proprietary and Outside Counsel","General Fund","5339","Telecom Liq Damages Rel Cost","1.21E+12","2014_15_actuals",9756
"12","City Attorney","100","Proprietary and Outside Counsel","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1.21E+12","2014_15_actuals",1873
"12","City Attorney","100","General Administration and Support","General Fund","5339","Telecom Liq Damages Rel Cost","1.21E+12","2014_15_actuals",3252
"12","City Attorney","100","City Attorney - Default Program","General Fund","5346","Related Cost Reimb Fr Grants","1.21E+12","2014_15_actuals",26118
"14","City Clerk","100","Council and Public Services","General Fund","4328","Certified Copies","1.41E+12","2014_15_actuals",220
"14","City Clerk","100","Council and Public Services","General Fund","4330","Council Subscriber Service","1.41E+12","2014_15_actuals",380
"14","City Clerk","100","Council and Public Services","General Fund","4339","Miscellaneous Gov't Services","1.41E+12","2014_15_actuals",2422
"14","City Clerk","100","Council and Public Services","General Fund","4342","Photo Copies","1.41E+12","2014_15_actuals",260
"14","City Clerk","100","Council and Public Services","General Fund","5328","Sewer Cons & Main Related Cost","1.41E+12","2014_15_actuals",43573
"14","City Clerk","100","Council and Public Services","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","1.41E+12","2014_15_actuals",43572
"14","City Clerk","100","Administration of City Elections","General Fund","4322","Council District Maps","1.41E+12","2014_15_actuals",1215
"14","City Clerk","100","Administration of City Elections","General Fund","4323","Election Filing Fees","1.41E+12","2014_15_actuals",17700
"14","City Clerk","100","Administration of City Elections","General Fund","4341","Election Reimbursements","1.41E+12","2014_15_actuals",5265623
"14","City Clerk","100","Administration of City Elections","General Fund","4342","Photo Copies","1.41E+12","2014_15_actuals",3
"14","City Clerk","100","Records Management","General Fund","4342","Photo Copies","1.41E+12","2014_15_actuals",7379
"14","City Clerk","100","Records Management","General Fund","5188","Miscellaneous Revenue-Others","1.41E+12","2014_15_actuals",3105
"14","City Clerk","100","Technology Support","General Fund","5331","Reimb Of Related Cost-Pr Yr","1.41E+12","2014_15_actuals",113701
"14","City Clerk","100","Technology Support","General Fund","5339","Telecom Liq Damages Rel Cost","1.41E+12","2014_15_actuals",305514
"14","City Clerk","100","General Administration and Support","General Fund","4332","Bad Check Collection Fees","1.41E+12","2014_15_actuals",105
"14","City Clerk","100","General Administration and Support","General Fund","4342","Photo Copies","1.41E+12","2014_15_actuals",12
"17","Ethics Commission","100","Governmental Ethics","General Fund","4331","Legislative Advocate Fee","1.72E+12","2014_15_actuals",312903
"17","Ethics Commission","100","Governmental Ethics","General Fund","4342","Photo Copies","1.72E+12","2014_15_actuals",222
"17","Ethics Commission","100","Governmental Ethics","General Fund","4812","Fines For City Law Violations","1.72E+12","2014_15_actuals",185690
"17","Ethics Commission","100","Governmental Ethics","General Fund","4815","Fines And Penalties-Others","1.72E+12","2014_15_actuals",14495
"17","Ethics Commission","100","Governmental Ethics","General Fund","5188","Miscellaneous Revenue-Others","1.72E+12","2014_15_actuals",40199
"17","Ethics Commission","100","Governmental Ethics","General Fund","5301","Reimb From Other Funds","1.72E+12","2014_15_actuals",250
"2","Aging","100","Senior Services","General Fund","5188","Miscellaneous Revenue-Others","22011005188","2014_15_actuals",2322
"2","Aging","100","Senior Services","General Fund","5337","Prop A Local Transit Rel Cost","22011005337","2014_15_actuals",63158
"2","Aging","100","Family Caregiver Services","General Fund","5188","Miscellaneous Revenue-Others","22021005188","2014_15_actuals",2323
"22","Economic and Workforce Development","100","Adult Workforce Development","General Fund","5334","Community Dev Tr Related Cost","2.22E+12","2014_15_actuals",280799
"22","Economic and Workforce Development","100","Adult Workforce Development","General Fund","5361","Related Cost Reimb-Others","2.22E+12","2014_15_actuals",23015
"22","Economic and Workforce Development","100","Economic Development","General Fund","5334","Community Dev Tr Related Cost","2.22E+12","2014_15_actuals",22500
"22","Economic and Workforce Development","100","Economic Development","General Fund","5346","Related Cost Reimb Fr Grants","2.22E+12","2014_15_actuals",401841
"22","Economic and Workforce Development","100","Youth Workforce Development","General Fund","5334","Community Dev Tr Related Cost","2.22E+12","2014_15_actuals",110559
"22","Economic and Workforce Development","100","Youth Workforce Development","General Fund","5346","Related Cost Reimb Fr Grants","2.22E+12","2014_15_actuals",78716
"22","Economic and Workforce Development","100","Youth Workforce Development","General Fund","5355","Work Invest Act Rel Cost","2.22E+12","2014_15_actuals",183302
"22","Economic and Workforce Development","100","Youth Workforce Development","General Fund","5361","Related Cost Reimb-Others","2.22E+12","2014_15_actuals",11612
"22","Economic and Workforce Development","100","Technology Support","General Fund","5331","Reimb Of Related Cost-Pr Yr","2.22E+12","2014_15_actuals",77711
"22","Economic and Workforce Development","100","Technology Support","General Fund","5346","Related Cost Reimb Fr Grants","2.22E+12","2014_15_actuals",8255
"22","Economic and Workforce Development","100","Technology Support","General Fund","5355","Work Invest Act Rel Cost","2.22E+12","2014_15_actuals",2430493
"22","Economic and Workforce Development","100","Technology Support","General Fund","5361","Related Cost Reimb-Others","2.22E+12","2014_15_actuals",91791
"22","Economic and Workforce Development","100","General Administration and Support","General Fund","5346","Related Cost Reimb Fr Grants","2.22E+12","2014_15_actuals",13462
"22","Economic and Workforce Development","100","Economic Development - Default Program","General Fund","5168","Reimb Of Prior Year Salary","2.22E+12","2014_15_actuals",19
"22","Economic and Workforce Development","100","Economic Development - Default Program","General Fund","5188","Miscellaneous Revenue-Others","2.22E+12","2014_15_actuals",7122
"22","Economic and Workforce Development","100","Economic Development - Default Program","General Fund","5331","Reimb Of Related Cost-Pr Yr","2.22E+12","2014_15_actuals",77710
"22","Economic and Workforce Development","100","Economic Development - Default Program","General Fund","5346","Related Cost Reimb Fr Grants","2.22E+12","2014_15_actuals",15479
"22","Economic and Workforce Development","100","Economic Development - Default Program","General Fund","5355","Work Invest Act Rel Cost","2.22E+12","2014_15_actuals",16234
"22","Economic and Workforce Development","100","Economic Development - Default Program","General Fund","5361","Related Cost Reimb-Others","2.22E+12","2014_15_actuals",29640
"2","Aging","100","Aging - Default Program","General Fund","5331","Reimb Of Related Cost-Pr Yr","22991005331","2014_15_actuals",30814
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4335","Controllers Fee","2.63E+12","2014_15_actuals",73756
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4336","Payroll Deduction Fee","2.63E+12","2014_15_actuals",350937
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4339","Miscellaneous Gov't Services","2.63E+12","2014_15_actuals",99396
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4348","Duplicate W-2 Fees","2.63E+12","2014_15_actuals",4370
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4595","Service To Airports","2.63E+12","2014_15_actuals",724068
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4596","Service To Water & Power","2.63E+12","2014_15_actuals",573537
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","4597","Service To Harbor","2.63E+12","2014_15_actuals",431202
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","5301","Reimb From Other Funds","2.63E+12","2014_15_actuals",40274
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","5328","Sewer Cons & Main Related Cost","2.63E+12","2014_15_actuals",248319
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","5337","Prop A Local Transit Rel Cost","2.63E+12","2014_15_actuals",36514
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","5341","Home Invest Prtnrship Rel Cost","2.63E+12","2014_15_actuals",21577
"26","Controller","100","Accounting and Disbursement of City Funds","General Fund","5355","Work Invest Act Rel Cost","2.63E+12","2014_15_actuals",16659
"26","Controller","100","Financial Reporting of City and Grant Funds","General Fund","4339","Miscellaneous Gov't Services","2.63E+12","2014_15_actuals",340
"26","Controller","100","Financial Reporting of City and Grant Funds","General Fund","4595","Service To Airports","2.63E+12","2014_15_actuals",21216
"26","Controller","100","Financial Reporting of City and Grant Funds","General Fund","4596","Service To Water & Power","2.63E+12","2014_15_actuals",47828
"26","Controller","100","Financial Reporting of City and Grant Funds","General Fund","4597","Service To Harbor","2.63E+12","2014_15_actuals",34746
"26","Controller","100","Financial Reporting of City and Grant Funds","General Fund","5167","Unclaimed Assets Monies","2.63E+12","2014_15_actuals",33112
"26","Controller","100","Audits of City Departments and Programs","General Fund","4596","Service To Water & Power","2.63E+12","2014_15_actuals",437611
"26","Controller","100","Support of the City's Financial Systems","General Fund","4595","Service To Airports","2.63E+12","2014_15_actuals",15825
"26","Controller","100","Support of the City's Financial Systems","General Fund","4596","Service To Water & Power","2.63E+12","2014_15_actuals",61788
"26","Controller","100","Support of the City's Financial Systems","General Fund","4597","Service To Harbor","2.63E+12","2014_15_actuals",227248
"26","Controller","100","General Administration and Support","General Fund","3811","Reimb From Other Agencies","2.63E+12","2014_15_actuals",148
"26","Controller","100","General Administration and Support","General Fund","4339","Miscellaneous Gov't Services","2.63E+12","2014_15_actuals",2366
"26","Controller","100","General Administration and Support","General Fund","5170","Research Fee - Heirfinders","2.63E+12","2014_15_actuals",1053
"28","Council","100","Legislation and Policy Determination","General Fund","4342","Photo Copies","2.83E+12","2014_15_actuals",1546
"28","Council","100","Legislation and Policy Determination","General Fund","4595","Service To Airports","2.83E+12","2014_15_actuals",90105
"28","Council","100","Legislation and Policy Determination","General Fund","4597","Service To Harbor","2.83E+12","2014_15_actuals",82428
"28","Council","100","Legislation and Policy Determination","General Fund","5161","Reimbursement Of Expenditures","2.83E+12","2014_15_actuals",3735
"28","Council","100","Legislation and Policy Determination","General Fund","5172","Phone Calls Reimbursement","2.83E+12","2014_15_actuals",1006
"28","Council","100","Legislation and Policy Determination","General Fund","5188","Miscellaneous Revenue-Others","2.83E+12","2014_15_actuals",751081
"28","Council","100","Legislation and Policy Determination","General Fund","5319","Reimb Prop F Animal Bond Fund","2.83E+12","2014_15_actuals",309
"28","Council","100","Legislation and Policy Determination","General Fund","5320","Reimb Prop F Fire Bond Fund","2.83E+12","2014_15_actuals",617
"28","Council","100","Legislation and Policy Determination","General Fund","5321","Reimb Prop Q Police/Fire Fund","2.83E+12","2014_15_actuals",274
"28","Council","100","Legislation and Policy Determination","General Fund","5322","Proposition K Funds","2.83E+12","2014_15_actuals",33356
"28","Council","100","Legislation and Policy Determination","General Fund","5331","Reimb Of Related Cost-Pr Yr","2.83E+12","2014_15_actuals",200
"28","Council","100","Legislation and Policy Determination","General Fund","5361","Related Cost Reimb-Others","2.83E+12","2014_15_actuals",31944
"30","Cultural Affairs","100","Community Arts","General Fund","4473","Admission Fees","3.03E+12","2014_15_actuals",87328
"30","Cultural Affairs","100","Community Arts","General Fund","4474","Miscellaneous-Cultural Affairs","3.03E+12","2014_15_actuals",4935
"30","Cultural Affairs","100","Community Arts","General Fund","4475","Instruction Fees","3.03E+12","2014_15_actuals",119264
"30","Cultural Affairs","100","Community Arts","General Fund","5332","Arts & Cultural Fac Rel Cost","3.03E+12","2014_15_actuals",1602122
"30","Cultural Affairs","100","Marketing and Development","General Fund","5332","Arts & Cultural Fac Rel Cost","3.03E+12","2014_15_actuals",178013
"30","Cultural Affairs","100","Public Art","General Fund","4471","Approval For Applicatn Design","3.03E+12","2014_15_actuals",37520
"30","Cultural Affairs","100","Public Art","General Fund","4474","Miscellaneous-Cultural Affairs","3.03E+12","2014_15_actuals",140
"30","Cultural Affairs","100","Public Art","General Fund","4475","Instruction Fees","3.03E+12","2014_15_actuals",200
"30","Cultural Affairs","100","Public Art","General Fund","5332","Arts & Cultural Fac Rel Cost","3.03E+12","2014_15_actuals",623047
"30","Cultural Affairs","100","Grants Program","General Fund","5332","Arts & Cultural Fac Rel Cost","3.03E+12","2014_15_actuals",267550
"30","Cultural Affairs","100","General Administration and Support","General Fund","5332","Arts & Cultural Fac Rel Cost","3.03E+12","2014_15_actuals",1013850
"32","Information Technology Agency","100","Public Safety Communications","General Fund","4596","Service To Water & Power","3.23E+12","2014_15_actuals",25667
"32","Information Technology Agency","100","Public Safety Communications","General Fund","5161","Reimbursement Of Expenditures","3.23E+12","2014_15_actuals",96847
"32","Information Technology Agency","100","Public Safety Communications","General Fund","5301","Reimb From Other Funds","3.23E+12","2014_15_actuals",74657
"32","Information Technology Agency","100","Public Safety Communications","General Fund","5320","Reimb Prop F Fire Bond Fund","3.23E+12","2014_15_actuals",45063
"32","Information Technology Agency","100","Public Safety Communications","General Fund","5321","Reimb Prop Q Police/Fire Fund","3.23E+12","2014_15_actuals",41337
"32","Information Technology Agency","100","Public Safety Communications","General Fund","5331","Reimb Of Related Cost-Pr Yr","3.23E+12","2014_15_actuals",101111
"32","Information Technology Agency","100","3-1-1 Operations","General Fund","5328","Sewer Cons & Main Related Cost","3.23E+12","2014_15_actuals",23072
"32","Information Technology Agency","100","3-1-1 Operations","General Fund","5331","Reimb Of Related Cost-Pr Yr","3.23E+12","2014_15_actuals",186948
"32","Information Technology Agency","100","3-1-1 Operations","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","3.23E+12","2014_15_actuals",446916
"32","Information Technology Agency","100","3-1-1 Operations","General Fund","5346","Related Cost Reimb Fr Grants","3.23E+12","2014_15_actuals",280058
"32","Information Technology Agency","100","3-1-1 Operations","General Fund","5359","Bldg & Safety Ent Fnd Rel Cost","3.23E+12","2014_15_actuals",440378
"32","Information Technology Agency","100","Cable Television","General Fund","5339","Telecom Liq Damages Rel Cost","3.23E+12","2014_15_actuals",1107740
"32","Information Technology Agency","100","Office Systems Support","General Fund","5301","Reimb From Other Funds","3.23E+12","2014_15_actuals",1308
"32","Information Technology Agency","100","Office Systems Support","General Fund","5339","Telecom Liq Damages Rel Cost","3.23E+12","2014_15_actuals",167504
"32","Information Technology Agency","100","Office Systems Support","General Fund","5342","St Lighting Assess Rel Cost","3.23E+12","2014_15_actuals",12307
"32","Information Technology Agency","100","Enterprise and Distributed Systems and Operation","General Fund","5301","Reimb From Other Funds","3.23E+12","2014_15_actuals",4614
"32","Information Technology Agency","100","Network Engineering and Operations","General Fund","4600","Service To Lacers","3.23E+12","2014_15_actuals",17951
"32","Information Technology Agency","100","Network Engineering and Operations","General Fund","5301","Reimb From Other Funds","3.23E+12","2014_15_actuals",82742
"32","Information Technology Agency","100","Network Engineering and Operations","General Fund","5339","Telecom Liq Damages Rel Cost","3.23E+12","2014_15_actuals",1716948
"32","Information Technology Agency","100","Network Engineering and Operations","General Fund","5369","Charge-Back - El Pueblo","3.23E+12","2014_15_actuals",13467
"32","Information Technology Agency","100","Data Engineering and Operations","General Fund","4600","Service To Lacers","3.23E+12","2014_15_actuals",29880
"32","Information Technology Agency","100","Business Applications and Web Services","General Fund","4595","Service To Airports","3.23E+12","2014_15_actuals",33500
"32","Information Technology Agency","100","Business Applications and Web Services","General Fund","4596","Service To Water & Power","3.23E+12","2014_15_actuals",42000
"32","Information Technology Agency","100","Business Applications and Web Services","General Fund","4597","Service To Harbor","3.23E+12","2014_15_actuals",30000
"32","Information Technology Agency","100","Business Applications and Web Services","General Fund","5161","Reimbursement Of Expenditures","3.23E+12","2014_15_actuals",34600
"32","Information Technology Agency","100","General Administration and Support","General Fund","3811","Reimb From Other Agencies","3.23E+12","2014_15_actuals",22215
"32","Information Technology Agency","100","General Administration and Support","General Fund","5168","Reimb Of Prior Year Salary","3.23E+12","2014_15_actuals",306
"32","Information Technology Agency","100","General Administration and Support","General Fund","5188","Miscellaneous Revenue-Others","3.23E+12","2014_15_actuals",19784
"32","Information Technology Agency","100","General Administration and Support","General Fund","5339","Telecom Liq Damages Rel Cost","3.23E+12","2014_15_actuals",138955
"33","El Pueblo de Los Angeles","100","General Administration and Support","General Fund","5301","Reimb From Other Funds","3.33E+12","2014_15_actuals",250
"35","Emergency Management","100","Emergency Management","General Fund","3685","Emergency Management Assistnce","3.54E+12","2014_15_actuals",615363
"35","Emergency Management","100","Emergency Management","General Fund","5188","Miscellaneous Revenue-Others","3.54E+12","2014_15_actuals",68
"35","Emergency Management","100","Emergency Management","General Fund","5301","Reimb From Other Funds","3.54E+12","2014_15_actuals",299
"35","Emergency Management","100","Emergency Management","General Fund","5328","Sewer Cons & Main Related Cost","3.54E+12","2014_15_actuals",123013
"35","Emergency Management","100","Emergency Management","General Fund","5338","Stormwtr Pollu Abate Rel Cost","3.54E+12","2014_15_actuals",871
"35","Emergency Management","100","Emergency Management","General Fund","5345","Sanit Equip Chg Acq Fd Rel Cost","3.54E+12","2014_15_actuals",88488
"38","Fire","100","Fire Suppression","General Fund","3811","Reimb From Other Agencies","3.84E+12","2014_15_actuals",2634037
"38","Fire","100","Fire Suppression","General Fund","4114","Fire Services For San Fernando","3.84E+12","2014_15_actuals",2969721
"38","Fire","100","Fire Suppression","General Fund","4115","Fire Services Restitution","3.84E+12","2014_15_actuals",69313
"38","Fire","100","Fire Suppression","General Fund","4117","Miscellaneous-Fire Service","3.84E+12","2014_15_actuals",238559
"38","Fire","100","Fire Suppression","General Fund","4595","Service To Airports","3.84E+12","2014_15_actuals",23621482
"38","Fire","100","Fire Suppression","General Fund","4596","Service To Water & Power","3.84E+12","2014_15_actuals",1621432
"38","Fire","100","Fire Suppression","General Fund","4597","Service To Harbor","3.84E+12","2014_15_actuals",16617409
"38","Fire","100","Hazardous Materials Enforcement","General Fund","4120","Unified Program-Annual Fees","3.84E+12","2014_15_actuals",4848821
"38","Fire","100","Hazardous Materials Enforcement","General Fund","4157","Underground Storage Tk-Plan Ck","3.84E+12","2014_15_actuals",415561
"38","Fire","100","Fire Prevention","General Fund","3177","Brush Removals","3.84E+12","2014_15_actuals",1240614
"38","Fire","100","Fire Prevention","General Fund","3282","Filming Permits","3.84E+12","2014_15_actuals",2036416
"38","Fire","100","Fire Prevention","General Fund","4111","Continuing Permits Section5704","3.84E+12","2014_15_actuals",3956594
"38","Fire","100","Fire Prevention","General Fund","4112","Non-Continuing Permits","3.84E+12","2014_15_actuals",2525136
"38","Fire","100","Fire Prevention","General Fund","4113","Fire Safety Off Cost Recovery","3.84E+12","2014_15_actuals",1498560
"38","Fire","100","Fire Prevention","General Fund","4116","Inspection Restitution","3.84E+12","2014_15_actuals",806938
"38","Fire","100","Fire Prevention","General Fund","4117","Miscellaneous-Fire Service","3.84E+12","2014_15_actuals",443037
"38","Fire","100","Fire Prevention","General Fund","4118","Fire Hydrant Instltn/Replcmnt","3.84E+12","2014_15_actuals",560110
"38","Fire","100","Fire Prevention","General Fund","4119","Non-Compliance Inspection Fees","3.84E+12","2014_15_actuals",67516
"38","Fire","100","Fire Prevention","General Fund","4121","High-Rise Inspection Fee","3.84E+12","2014_15_actuals",3490185
"38","Fire","100","Fire Prevention","General Fund","4122","Fire Sfty Clear Insp-Care Facil","3.84E+12","2014_15_actuals",43592
"38","Fire","100","Fire Prevention","General Fund","4123","Brush Clearance Restitution","3.84E+12","2014_15_actuals",1766194
"38","Fire","100","Fire Prevention","General Fund","4124","Brush Non-Compliance Fee","3.84E+12","2014_15_actuals",174829
"38","Fire","100","Fire Prevention","General Fund","4152","Cons Plan Checking","3.84E+12","2014_15_actuals",6039610
"38","Fire","100","Fire Prevention","General Fund","4243","Spot Check Prog Cost Recovery","3.84E+12","2014_15_actuals",634780
"38","Fire","100","Fire Prevention","General Fund","5311","Reimb-Metro Rail Project","3.84E+12","2014_15_actuals",969784
"38","Fire","100","Emergency Medical Service","General Fund","4451","Emergency Ambulance Services","3.84E+12","2014_15_actuals",71961589
"38","Fire","100","Emergency Medical Service","General Fund","4453","Ground Emergency Medical Transport","3.84E+12","2014_15_actuals",4827438
"38","Fire","100","Emergency Medical Service","General Fund","4595","Service To Airports","3.84E+12","2014_15_actuals",2624609
"38","Fire","100","Emergency Medical Service","General Fund","4597","Service To Harbor","3.84E+12","2014_15_actuals",513940
"38","Fire","100","General Administration and Support","General Fund","4332","Bad Check Collection Fees","3.84E+12","2014_15_actuals",665
"38","Fire","100","General Administration and Support","General Fund","4903","Interest Income-Other","3.84E+12","2014_15_actuals",20567
"38","Fire","100","General Administration and Support","General Fund","5121","Damage Claims & Settlements","3.84E+12","2014_15_actuals",2416
"38","Fire","100","General Administration and Support","General Fund","5169","Jury Duty Reimbursement","3.84E+12","2014_15_actuals",32
"38","Fire","100","General Administration and Support","General Fund","5175","Collection Fee","3.84E+12","2014_15_actuals",4219
"38","Fire","100","General Administration and Support","General Fund","5188","Miscellaneous Revenue-Others","3.84E+12","2014_15_actuals",158450
"38","Fire","100","General Administration and Support","General Fund","5301","Reimb From Other Funds","3.84E+12","2014_15_actuals",1097673
"38","Fire","100","General Administration and Support","General Fund","5320","Reimb Prop F Fire Bond Fund","3.84E+12","2014_15_actuals",127404
"38","Fire","100","General Administration and Support","General Fund","5331","Reimb Of Related Cost-Pr Yr","3.84E+12","2014_15_actuals",210323
"38","Fire","100","General Administration and Support","General Fund","5346","Related Cost Reimb Fr Grants","3.84E+12","2014_15_actuals",155993
