Department Code,Department Name,Program Code,Program Name,Fund Code,Fund Name,Source Fund Code,Source Fund Name,Budget Request Description,Budget Request Category,Budget Object Code,Audit Budget Object Name,One Time/ On-going,2021-22 (Proposed) Incremental change from 2020-21 Adopted Budget,2021-22 (Adopted) Incremental change from 2020-21 Adopted Budget
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-200574,-200574
02,Aging,0201,Senior Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,-264602,-264602
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-2443,-2443
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,214,214
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,38107,38107
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-11708,-11708
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,01,,894
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-79757,-79757
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,-20355,-20355
02,Aging,0201,Senior Services,100,General Fund,424,Community Development Trust Fund (Sch. 8),Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,13300,0
02,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-124,-124
02,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,19,19
02,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,1719,1719
02,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,225,225
02,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,,327705
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-5521,-5521
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,484,484
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,84800,84800
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-16484,-16484
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,01,,51407
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-80578,-80578
02,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,327705,0
02,Aging,0203,Older Workers Program,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-260017,-260017
02,Aging,0203,Older Workers Program,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,25898,25898
02,Aging,0203,Older Workers Program,100,General Fund,100,General Fund,Older Workers Employment Program Staff Support,3-Continuation of Services,001010,Salaries General,01,220023,220023
02,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-204,-204
02,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,17,17
02,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,3170,3170
02,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-787,-787
02,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-2582,-2582
02,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,213,213
02,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,40143,40143
02,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-9972,-9972
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-52762,-52762
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,8117,8117
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Animal Licensing Canvassing Program,3-Continuation of Services,001010,Salaries General,01,200064,200064
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Animal Licensing Canvassing Program,3-Continuation of Services,003040,Contractual Services,01,1520,1520
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Animal Licensing Canvassing Program,3-Continuation of Services,006020,Operating Supplies ,01,3000,3000
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-262341,-262341
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,003040,Contractual Services,BB,-1520,-1520
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,006020,Operating Supplies ,BB,-4000,-4000
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Expense Account Reduction,7-Efficiencies to Services,003040,Contractual Services,01,-11000,-11000
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,804178,804178
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-78513,-78513
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-325570,-325570
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,246364,246364
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Administrative Citation Enforcement Program,3-Continuation of Services,001010,Salaries General,01,107778,107778
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Administrative Citation Enforcement Program,3-Continuation of Services,002120,Printing and Binding,01,6000,6000
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Administrative Citation Enforcement Program,3-Continuation of Services,006010,Office and Administrative ,01,2500,2500
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-106691,-106691
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,002120,Printing and Binding,BB,-6000,-6000
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,006010,Office and Administrative ,BB,-2500,-2500
06,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,10626,10626
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-91837,-91837
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,14129,14129
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Budget and Finance Committee Report Item No. 187,3-Continuation of Services,001010,Salaries General,01,,158247
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-263896,-263896
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,004430,Uniforms,BB,-3090,-3090
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Deletion of One-Time Expense Funding,2-Deletion of One-Time Services,006020,Operating Supplies ,BB,-1200,-1200
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Expense Account Reduction,7-Efficiencies to Services,003040,Contractual Services,01,-7000,-7000
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,1316812,1316812
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,One-Time Salary Reduction,7-Efficiencies to Services,001010,Salaries General,01,-100000,-100000
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,18111,18111
06,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,68767,68767
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-22861,-22861
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,2430,2430
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-426868,-426868
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,378292,378292
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,8844,8844
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,190841,190841
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,Veterinary Medical Support,3-Continuation of Services,001010,Salaries General,01,0,126680
06,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,Veterinary Medical Support,3-Continuation of Services,001010,Salaries General,BB,136089,136089
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-21302,-21302
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,3158,3158
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-125320,-125320
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Expense Account Reduction,7-Efficiencies to Services,003040,Contractual Services,01,-10000,-10000
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,312237,312237
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Public Information Director,3-Continuation of Services,001010,Salaries General,BB,127426,127426
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-6827,-6827
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-352064,-352064
06,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,213103,213103
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-22424,-22424
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,2727,2727
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-173798,-173798
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,District Supervisor,3-Continuation of Services,001010,Salaries General,01,90279,90279
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,346672,346672
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-6486,-6486
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,Separation Incentive Program,12-Separation Incentive Program,001010,Salaries General,BB,-189657,-189657
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,Separation Incentive Program - Alternative Reduction,12-Separation Incentive Program,001010,Salaries General,01,-78124,-78124
06,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,346500,346500
06,Animal Services,0650,General Administration and Support,100,General Fund,842,Animal Sterilization Fund (Sch. 29),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-1889,-1889
06,Animal Services,0650,General Administration and Support,100,General Fund,842,Animal Sterilization Fund (Sch. 29),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,264,264
06,Animal Services,0650,General Administration and Support,100,General Fund,842,Animal Sterilization Fund (Sch. 29),Full Funding for Partially Financed Positions,1-Obligatory Changes,001010,Salaries General,BB,27068,27068
06,Animal Services,0650,General Administration and Support,100,General Fund,842,Animal Sterilization Fund (Sch. 29),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-2038,-2038
06,Animal Services,0650,General Administration and Support,100,General Fund,842,Animal Sterilization Fund (Sch. 29),Separation Incentive Program Cash Payment,12-Separation Incentive Program,001010,Salaries General,01,3500,3500
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-152906,-152906
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,22446,22446
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Airport Plan Check,3-Continuation of Services,001010,Salaries General,01,563607,563607
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Airport Plan Check,3-Continuation of Services,003310,Transportation,01,860,860
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Backfile Conversion,3-Continuation of Services,001010,Salaries General,01,268677,268677
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-4009527,-4009527
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),"Deletion of One-Time Overtime, and Expense",2-Deletion of One-Time Services,003310,Transportation,01,-5560,-5560
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Metro Backroom Plan Check,3-Continuation of Services,001010,Salaries General,01,74435,74435
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Non-Ductile Concrete Plan Check,3-Continuation of Services,001010,Salaries General,01,766331,766331
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Non-Ductile Concrete Plan Check,3-Continuation of Services,003310,Transportation,01,2470,2470
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,315481,315481
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Soft-Story Plan Check,3-Continuation of Services,001010,Salaries General,01,1038116,1038116
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Soft-Story Plan Check,3-Continuation of Services,003310,Transportation,01,2580,2580
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Structural Plan Check Clerical Support,3-Continuation of Services,001010,Salaries General,01,151238,151238
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Structural Plan Check Support,3-Continuation of Services,001010,Salaries General,01,1047883,1047883
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Structural Plan Check Support,3-Continuation of Services,003310,Transportation,01,3870,3870
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Zoning Engineer and Subdivision Review,3-Continuation of Services,001010,Salaries General,01,295435,295435
08,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Zoning Engineer and Subdivision Review,3-Continuation of Services,003310,Transportation,01,430,430
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-65008,-65008
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,9945,9945
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Airport Plan Check Services,3-Continuation of Services,001010,Salaries General,01,274769,274769
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Airport Plan Check Services,3-Continuation of Services,003310,Transportation,01,860,860
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Deletion of Funding for Resolution Authorities,2-Deletion of One-Time Services,001010,Salaries General,BB,-1183160,-1183160
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),"Deletion of One-Time Overtime, and Expense",2-Deletion of One-Time Services,003310,Transportation,01,-1326,-1326
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Electrical Plan Check,3-Continuation of Services,001010,Salaries General,01,123862,123862
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Electrical Plan Check,3-Continuation of Services,003310,Transportation,01,430,430
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Existing Building Energy and Water Efficiency Program,3-Continuation of Services,001010,Salaries General,01,737563,737563
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Existing Building Energy and Water Efficiency Program,3-Continuation of Services,003310,Transportation,01,860,860
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Mechanical Plan Check,3-Continuation of Services,001010,Salaries General,01,122447,122447
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Mechanical Plan Check,3-Continuation of Services,003310,Transportation,01,430,430
08,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,-45932,-45932
08,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2020-21 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,-26725,-26725
08,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),2021-22 Employee Compensation Adjustment,1-Obligatory Changes,001010,Salaries General,BB,3989,3989
08,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),Salary Step and Turnover Effect,1-Obligatory Changes,001010,Salaries General,BB,111267,111267
