Dept Code,Dept Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Prog Name,Fund Code,Source Fund Code,Source Fund Name,Account Code,Account Name,2020-21 Adopted Budget,2021-22 Proposed Budget,2021-22 Adopted
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,12,12,12
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,45,45,45
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,100,General Fund,POSAN,As Needed Positions,3,3,3
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,101,101,101
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,17,17,17
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,100,General Fund,POSAN,As Needed Positions,10,10,10
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,100,General Fund,POSSG,Civilian Regular Authority Positions,14.61,14.61,14.61
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,346,Repair & Demolition Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.96,0.96,0.96
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.68,0.68,0.68
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,196.75,196.75,196.75
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,52,52,52
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,100,General Fund,POSAN,As Needed Positions,1,1,1
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,13,13,13
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,28,28,28
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,100,General Fund,POSSG,Civilian Regular Authority Positions,56.84,56.84,56.84
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,4.38,4.38,4.38
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,346,Repair & Demolition Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,1.84,1.84,1.84
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,1.31,1.31,1.31
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,30.01,30.01,30.01
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,1.62,1.62,1.62
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,100,General Fund,POSSG,Civilian Regular Authority Positions,13.78,13.78,13.78
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,346,Repair & Demolition Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.84,0.84,0.84
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,3.6,3.6,3.6
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,13.78,13.78,13.78
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,52D,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,2,,
08,Building and Safety,08LVL5,Building and Safety,0848,Development Services Systems,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,3,3,3
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,100,General Fund,POSAN,As Needed Positions,2,2,2
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,39,39,39
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,9,9,9
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,100,General Fund,POSSG,Civilian Regular Authority Positions,4.26,4.26,4.26
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,1.74,1.87,1.87
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,346,Repair & Demolition Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.03,0.03,0.03
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.02,0.02,0.02
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSAN,As Needed Positions,1,1,1
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,110.69,110.69,110.69
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,48R,Building and Safety Building Permit Fund (Sch. 40),RESSG,Civilian Resolution Authority Positions,7.26,8.13,8.13
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,100,General Fund,POSAN,As Needed Positions,5,5,5
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,100,General Fund,POSSG,Civilian Regular Authority Positions,33.35,32.35,32.35
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,41M,Systematic Code Enforcement Fee Fund (Sch. 42),POSSG,Civilian Regular Authority Positions,0.98,0.48,0.4841
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,424,Community Development Trust Fund (Sch. 8),POSSG,Civilian Regular Authority Positions,,0.68,0.679
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,440,Rent Stabilization Trust Fund (Sch. 23),POSSG,Civilian Regular Authority Positions,0.36,0.52,0.5171
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,46D,Citywide Recycling Trust Fund (Sch. 32),POSSG,Civilian Regular Authority Positions,0.5,0.5,0.5
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,0.55,0.55,0.55
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,508,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,0.5,0.5,0.5
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,52D,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,0.2,0.2,0.2
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,540,Proposition C Anti-Gridlock Transit Fund (Sch. 27),POSSG,Civilian Regular Authority Positions,0.5,0.5,0.5
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,55J,Low and Moderate Income Housing Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.5,,0
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,561,HOME Investment Partnership Program Fund (Sch. 9),POSSG,Civilian Regular Authority Positions,0.16,,-0.0012
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,760,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,1.4,1.4,1.4
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,815,Municipal Housing Finance Fund (Sch. 48),POSSG,Civilian Regular Authority Positions,,0.32,0.321
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,100,General Fund,POSCOMM,Commissioner Positions,9,9,9
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,100,General Fund,POSSG,Civilian Regular Authority Positions,11.8,11.8,11.8
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,1,3,3
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,105,Innovation Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,1,1,1
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,41M,Systematic Code Enforcement Fee Fund (Sch. 42),POSSG,Civilian Regular Authority Positions,0.07,0.03,0.0289
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,424,Community Development Trust Fund (Sch. 8),POSSG,Civilian Regular Authority Positions,,0.03,0.0338
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,440,Rent Stabilization Trust Fund (Sch. 23),POSSG,Civilian Regular Authority Positions,0.02,0.02,0.0219
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,1.1,1.1,1.1
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,52D,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,0.3,0.3,0.3
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,561,HOME Investment Partnership Program Fund (Sch. 9),POSSG,Civilian Regular Authority Positions,0.01,,-0.0007
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,815,Municipal Housing Finance Fund (Sch. 48),POSSG,Civilian Regular Authority Positions,,0.02,0.0161
10,City Administrative Officer,10LVL5,City Administrative Officer,1002,Management Services,100,872,Disaster Assistance Trust Fund (Sch. 37),POSSG,Civilian Regular Authority Positions,1.7,1.7,1.7
10,City Administrative Officer,10LVL5,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,100,General Fund,POSSG,Civilian Regular Authority Positions,9,10,10
10,City Administrative Officer,10LVL5,City Administrative Officer,1003,Employee Relations Compensation and Benefits,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,2,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1004,Risk Management,100,100,General Fund,POSSG,Civilian Regular Authority Positions,10.05,8.05,8.05
10,City Administrative Officer,10LVL5,City Administrative Officer,1004,Risk Management,100,761,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,2.95,2.95,2.95
10,City Administrative Officer,10LVL5,City Administrative Officer,1006,Debt Management,100,100,General Fund,POSSG,Civilian Regular Authority Positions,4.59,4.59,4.59
10,City Administrative Officer,10LVL5,City Administrative Officer,1006,Debt Management,100,429,Los Angeles Convention & Visitors Bureau Trust Fund (Sch. 1),POSSG,Civilian Regular Authority Positions,0.41,0.41,0.41
10,City Administrative Officer,10LVL5,City Administrative Officer,1006,Debt Management,100,760,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,1,1,1
10,City Administrative Officer,10LVL5,City Administrative Officer,1007,Asset Management and Capital Projects,100,100,General Fund,POSSG,Civilian Regular Authority Positions,13,13,13
10,City Administrative Officer,10LVL5,City Administrative Officer,1007,Asset Management and Capital Projects,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,,0.25,0.25
10,City Administrative Officer,10LVL5,City Administrative Officer,1007,Asset Management and Capital Projects,100,57D,CRA Non-Housing Bond Proceeds Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,1,0.75,0.75
10,City Administrative Officer,10LVL5,City Administrative Officer,1008,Proprietary Analysis,100,100,General Fund,POSSG,Civilian Regular Authority Positions,5,5,5
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,100,100,General Fund,POSAN,As Needed Positions,2,2,2
10,City Administrative Officer,10LVL5,City Administrative Officer,1050,General Administration and Support,100,100,General Fund,POSSG,Civilian Regular Authority Positions,18,17,17
11,Public Accountability,11LVL5,Public Accountability,1101,Public Accountability and Ratepayer Advocate,100,100,General Fund,POSSG,Civilian Regular Authority Positions,9,9,9
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,100,General Fund,POSSG,Civilian Regular Authority Positions,364.5,354.5,354.5
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,22,21,21
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,550,City Attorney Consumer Protection Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,13.5,12.5,12.5
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,550,City Attorney Consumer Protection Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,,1,1
12,City Attorney,12LVL5,City Attorney,1201,Criminal and Special Litigation,100,55R,Code Compliance Fund (Sch. 53),POSSG,Civilian Regular Authority Positions,6,6,6
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,100,General Fund,POSSG,Civilian Regular Authority Positions,201.51,197.6,197.6
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,14,12,12
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,342,Telecommunications Development Account (Sch. 20),POSSG,Civilian Regular Authority Positions,0.09,,0
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,508,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,2,2,2
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,550,City Attorney Consumer Protection Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,10,8,8
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,760,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,0.2,0.2,0.2
12,City Attorney,12LVL5,City Attorney,1202,Civil Liability Management,100,761,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,0.2,0.2,0.2
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,100,General Fund,POSSG,Civilian Regular Authority Positions,160.63,157.59,157.586
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,11.85,10.08,10.0784
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,10D,Accessible Housing Fund (Sch. 38),POSSG,Civilian Regular Authority Positions,,1.1,1.097
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,10D,Accessible Housing Fund (Sch. 38),RESSG,Civilian Resolution Authority Positions,3,2,2
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,240,Housing Production Revolving Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.55,0.39,0.388
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,342,Telecommunications Development Account (Sch. 20),POSSG,Civilian Regular Authority Positions,0.73,,0
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,41M,Systematic Code Enforcement Fee Fund (Sch. 42),POSSG,Civilian Regular Authority Positions,2.65,1.32,1.3245
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,41M,Systematic Code Enforcement Fee Fund (Sch. 42),RESSG,Civilian Resolution Authority Positions,0.15,0.57,0.5678
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,424,Community Development Trust Fund (Sch. 8),POSSG,Civilian Regular Authority Positions,0.99,0.53,0.5335
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,440,Rent Stabilization Trust Fund (Sch. 23),POSSG,Civilian Regular Authority Positions,0.95,0.94,0.943
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,440,Rent Stabilization Trust Fund (Sch. 23),RESSG,Civilian Resolution Authority Positions,,0.57,0.5678
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,48R,Building and Safety Building Permit Fund (Sch. 40),POSSG,Civilian Regular Authority Positions,2.5,2.5,2.5
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,508,Solid Waste Resources Revenue Fund (Sch. 2),POSSG,Civilian Regular Authority Positions,0.5,0.5,0.5
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,508,Solid Waste Resources Revenue Fund (Sch. 2),RESSG,Civilian Resolution Authority Positions,1.5,1.5,1.5
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,52D,Planning Case Processing Fund (Sch. 35),POSSG,Civilian Regular Authority Positions,1.5,1.5,1.5
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,52D,Planning Case Processing Fund (Sch. 35),RESSG,Civilian Resolution Authority Positions,1,1,1
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,52F,Planning Long-Range Planning Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,1,1,1
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,52F,Planning Long-Range Planning Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,4,4,4
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,540,Proposition C Anti-Gridlock Transit Fund (Sch. 27),POSSG,Civilian Regular Authority Positions,1,1,1
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,55J,Low and Moderate Income Housing Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,0.5,1.19,1.1855
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,561,HOME Investment Partnership Program Fund (Sch. 9),POSSG,Civilian Regular Authority Positions,0.4,1.7,1.6975
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,56V,Foreclosure Registry Program Fund (Sch. 29),RESSG,Civilian Resolution Authority Positions,1,0.79,0.786
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,57F,Sidewalk Repair Fund (Sch. 51),RESSG,Civilian Resolution Authority Positions,0.4,0.4,0.4
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,57W,Workforce Innovation and Opportunity Act Fund (Sch. 22),POSSG,Civilian Regular Authority Positions,1.25,1.25,1.25
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,59T,Housing Impact Trust Fund (Sch. 29),POSSG,Civilian Regular Authority Positions,,0.69,0.694
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,60E,Cannabis Regulation Special Revenue Fund (Sch. 33),RESSG,Civilian Resolution Authority Positions,4,4,4
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,760,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,1,1,1
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,760,Sewer Operations & Maintenance Fund (Sch. 14),RESSG,Civilian Resolution Authority Positions,2.1,2.1,2.1
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,761,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,1.5,1.5,1.5
12,City Attorney,12LVL5,City Attorney,1203,Municipal Law,100,815,Municipal Housing Finance Fund (Sch. 48),POSSG,Civilian Regular Authority Positions,0.35,0.3,0.301
12,City Attorney,12LVL5,City Attorney,1204,Proprietary and Outside Counsel,100,100,General Fund,POSSG,Civilian Regular Authority Positions,96.88,96.98,96.98
12,City Attorney,12LVL5,City Attorney,1204,Proprietary and Outside Counsel,100,100,General Fund,RESSG,Civilian Resolution Authority Positions,6,6,6
12,City Attorney,12LVL5,City Attorney,1204,Proprietary and Outside Counsel,100,342,Telecommunications Development Account (Sch. 20),POSSG,Civilian Regular Authority Positions,0.1,,0
12,City Attorney,12LVL5,City Attorney,1204,Proprietary and Outside Counsel,100,760,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,0.01,0.01,0.01
12,City Attorney,12LVL5,City Attorney,1204,Proprietary and Outside Counsel,100,761,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,0.01,0.01,0.01
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,100,100,General Fund,POSSG,Civilian Regular Authority Positions,47.82,42.9,42.9
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,100,342,Telecommunications Development Account (Sch. 20),POSSG,Civilian Regular Authority Positions,0.08,,0
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,100,760,Sewer Operations & Maintenance Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,0.05,0.05,0.05
12,City Attorney,12LVL5,City Attorney,1250,General Administration and Support,100,761,Sewer Capital Fund (Sch. 14),POSSG,Civilian Regular Authority Positions,0.05,0.05,0.05
13,Cannabis Regulation,13LVL5,Cannabis Regulation,1301,Regulations and Licensing,100,100,General Fund,POSAN,As Needed Positions,6,6,6
