Dept Code,Dept Name,Org Level 5 Code,Org Level 5 Name,Prog Code,Prog Name,Fund Code,Fund Name,Source Fund Code,Source Fund Name,Account Code,Account Name,2019-20 Actuals,2020-21 Adopted Budget,2020-21 Estimates,2021-22 Proposed Budget,2021-22 Adopted
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,42J,Senior Human Services Program Fund (Sch. 29),001010,Salaries General,77836,,78000,,
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,47Y,HICAP Fund (Sch. 29),001010,Salaries General,49821,,50000,,
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,57E,Supplemental Nutrition Assistance Program Fund (Sch. 29),001010,Salaries General,51638,,52000,,
02,Aging,02LVL5,Aging,0201,Senior Services,100,General Fund,63M,COVID-19 FEDERAL RELIEF FUND (Sch. 29),003040,Contractual Services,,,5638000,,
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,001010,Salaries General,325526,11357,,13196,340901
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,001090,Overtime General,9999,,,,
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,General Fund,100,General Fund,003040,Contractual Services,,4000,4000,4000,4000
02,Aging,02LVL5,Aging,0202,Family Caregiver Services,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),001010,Salaries General,,560323,,870729,594431
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,100,General Fund,001010,Salaries General,57540,234119,67000,220023,220023
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,100,General Fund,001090,Overtime General,1815,,,,
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,100,General Fund,003040,Contractual Services,11237,468000,473000,468000,468000
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),001010,Salaries General,,20950,,23146,23146
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),002120,Printing and Binding,,1013,,1013,1013
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),003040,Contractual Services,,4500,,4500,4500
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,395,Area Plan for the Aging Title 7 Fund (Sch. 21),006010,Office and Administrative ,,6737,,6737,6737
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),001010,Salaries General,312387,265251,200000,293053,293053
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),002130,Travel,,200,,200,200
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),003040,Contractual Services,,500,,500,500
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),003310,Transportation,,1407,,1407,1407
02,Aging,02LVL5,Aging,0203,Older Workers Program,100,General Fund,410,Other Programs for the Aging (Sch. 21),006010,Office and Administrative ,,2763,,2763,2763
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,001010,Salaries General,5323267,5088417,5088000,5627954,5627954
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,001070,"Salaries, As-Needed",144,84302,84000,84302,84302
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,001090,Overtime General,68761,72100,72000,72100,72100
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,003040,Contractual Services,46188,85040,107000,74040,74040
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,004430,Uniforms,16232,27660,28000,27660,27660
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,006010,Office and Administrative ,38147,40000,40000,40000,40000
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,100,General Fund,006020,Operating Supplies ,62257,69000,69000,68000,68000
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),001010,Salaries General,39684,96065,96000,107778,107778
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),002120,Printing and Binding,2676,6000,6000,6000,6000
06,Animal Services,06LVL5,Animal Services,0601,Animal Control and Law Enforcement,100,General Fund,55R,Code Compliance Fund (Sch. 53),006010,Office and Administrative ,,2500,2000,2500,2500
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,001010,Salaries General,9419956,8592247,8592000,9554333,9712580
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,001070,"Salaries, As-Needed",311898,78967,79000,78967,78967
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,001090,Overtime General,145682,47900,48000,47900,47900
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,003040,Contractual Services,232521,154500,812000,147500,147500
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,003310,Transportation,2636,,,,
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,004430,Uniforms,1914,3090,3000,,0
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,004460,Private Veterinary Care Expense,86741,47500,48000,47500,47500
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,004580,Animal Food/Feed and Grain,624503,400000,400000,400000,400000
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,006010,Office and Administrative ,54393,57000,57000,57000,57000
06,Animal Services,06LVL5,Animal Services,0602,Shelter Operations and Animal Care,100,General Fund,100,General Fund,006020,Operating Supplies ,171681,181219,181000,180019,180019
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,001010,Salaries General,2777177,2558134,2558000,2824901,2951581
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,001070,"Salaries, As-Needed",20099,21075,21000,21075,21075
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,003040,Contractual Services,12984,5000,10000,5000,5000
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,100,General Fund,003190,Medical Supplies,527517,439623,440000,439623,439623
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,842,Animal Sterilization Fund (Sch. 29),001070,"Salaries, As-Needed",,116032,116000,116032,116032
06,Animal Services,06LVL5,Animal Services,0607,Animal Medical Services,100,General Fund,842,Animal Sterilization Fund (Sch. 29),003190,Medical Supplies,,48968,49000,48968,48968
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,001010,Salaries General,2317259,2073694,2074000,2224105,2224105
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,003040,Contractual Services,15396,26000,16000,16000,16000
06,Animal Services,06LVL5,Animal Services,0609,Community Engagement and Partnerships,100,General Fund,100,General Fund,006010,Office and Administrative ,84389,88487,88000,88487,88487
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,001010,Salaries General,2528434,2268184,2268000,2583873,2583873
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,001090,Overtime General,290714,,,,
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,002120,Printing and Binding,70654,68000,68000,68000,68000
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,003040,Contractual Services,101226,88848,122000,88848,88848
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,003310,Transportation,7153,7500,7000,7500,7500
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,006010,Office and Administrative ,51499,54000,54000,54000,54000
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,100,General Fund,006020,Operating Supplies ,60603,35527,36000,35527,35527
06,Animal Services,06LVL5,Animal Services,0650,General Administration and Support,100,General Fund,842,Animal Sterilization Fund (Sch. 29),001010,Salaries General,,176563,177000,203468,203468
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,100,General Fund,001010,Salaries General,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,20501695,20773864,20774000,21155080,21155080
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",249910,395877,396000,395877,395877
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,4059619,4620000,4620000,4620000,4620000
08,Building and Safety,08LVL5,Building and Safety,0811,Structural Plan Checking,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,1621,40857,41000,45507,45507
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,100,General Fund,001010,Salaries General,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,21847627,9379720,9379000,9354206,9354206
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",215345,28099,28000,28099,28099
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,1226223,1980000,1980000,1980000,1980000
08,Building and Safety,08LVL5,Building and Safety,0812,Green Buildings and Electrical and Mechanical Engineering,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,1102991,53929,54000,55183,55183
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,100,General Fund,001010,Salaries General,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,1859863,5058823,5059000,5147354,5147354
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,490445,541000,541000,541000,541000
08,Building and Safety,08LVL5,Building and Safety,0813,Grading Reports and Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,17162,84925,85000,84925,84925
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,General Fund,100,General Fund,001010,Salaries General,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,18489383,12142674,12143000,12508753,12508753
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,1440253,1591000,1591000,1591000,1591000
08,Building and Safety,08LVL5,Building and Safety,0814,Residential Inspection,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,462000,424412,425000,430533,430533
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,100,General Fund,001010,Salaries General,,1509417,1509000,1656500,1656500
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,346,Repair & Demolition Fund (Sch. 29),001010,Salaries General,100265,99522,99000,109225,109225
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),001010,Salaries General,22277,70764,71000,77654,77654
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,3174994,27175807,27176000,28107736,28107736
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",146579,117688,118000,117688,117688
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,2661941,3718000,3718000,3718000,3718000
08,Building and Safety,08LVL5,Building and Safety,0815,Commercial Inspection and Licensing,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,,898251,898000,914952,914952
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,100,General Fund,001010,Salaries General,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,746950,4944033,4944000,4991072,4991072
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",,11901,12000,11901,11901
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,128998,750000,750000,750000,750000
08,Building and Safety,08LVL5,Building and Safety,0816,Development Services Case Management,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,916,44765,45000,49194,49194
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,001010,Salaries General,,6038663,6038000,6672694,6672694
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,001090,Overtime General,58994,312441,312000,312441,312441
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,002120,Printing and Binding,6155,40790,41000,54606,54606
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,003040,Contractual Services,65113,122708,123000,141000,141000
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,003310,Transportation,,270595,271000,336959,336959
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,004430,Uniforms,,1500,1000,1500,1500
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,006010,Office and Administrative ,112107,108724,109000,108724,108724
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,100,General Fund,006020,Operating Supplies ,5141,16903,16000,36903,36903
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,346,Repair & Demolition Fund (Sch. 29),001010,Salaries General,177193,176799,177000,192469,192469
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),001010,Salaries General,54623,125678,126000,136837,136837
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,,3574167,3575000,3634203,3634203
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,468171,38000,38000,38000,38000
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003040,Contractual Services,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0817,Residential and Commercial Code Enforcement,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,20243,47574,48000,47920,47920
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,100,General Fund,001010,Salaries General,,1131741,1131000,1333785,1333785
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,100,General Fund,001090,Overtime General,32917,97184,97000,97184,97184
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,100,General Fund,003040,Contractual Services,34060,49785,49000,60064,60064
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,346,Repair & Demolition Fund (Sch. 29),001010,Salaries General,78749,74883,75000,81093,81093
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,424,Community Development Trust Fund (Sch. 8),001010,Salaries General,1624106,,,,
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),001010,Salaries General,157061,348808,349000,378912,378912
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),003310,Transportation,18744,11079,11000,11079,11079
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,692897,1389851,1389000,1412716,1412716
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",5605,23144,24000,23144,23144
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,300068,151191,151000,151191,151191
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,,150359,150000,150359,150359
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),001010,Salaries General,,229704,230000,,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),001090,Overtime General,208062,200000,200000,167850,167850
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),002120,Printing and Binding,,220,1000,0,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),003040,Contractual Services,,2220,2000,0,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),003310,Transportation,,5396,5000,0,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),006010,Office and Administrative ,,2080,2000,0,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,52D,Planning Case Processing Fund (Sch. 35),006020,Operating Supplies ,,1444,2000,0,0
08,Building and Safety,08LVL5,Building and Safety,0818,Conservation of Existing Structures and Mechanical Devices,100,General Fund,56V,Foreclosure Registry Program Fund (Sch. 29),001090,Overtime General,50908,76184,76000,76184,76184
08,Building and Safety,08LVL5,Building and Safety,0848,Development Services Systems,100,General Fund,100,General Fund,001010,Salaries General,,,,,0
08,Building and Safety,08LVL5,Building and Safety,0848,Development Services Systems,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,935401,398052,398000,401867,401867
08,Building and Safety,08LVL5,Building and Safety,0848,Development Services Systems,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,,242,1000,242,242
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,100,General Fund,001010,Salaries General,1900339,,,,0
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,3951614,5222180,5222000,5334885,5334885
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",149454,229922,229000,229922,229922
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,505505,270000,270000,270000,270000
08,Building and Safety,08LVL5,Building and Safety,0849,Technology Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,7771,2468,3000,1705,1705
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,001010,Salaries General,6349180,238123,238000,517891,517891
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,001070,"Salaries, As-Needed",,,,48446,48446
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,001090,Overtime General,32726,8365,8000,8365,8365
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,002120,Printing and Binding,3400,15166,15000,31380,31380
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,003040,Contractual Services,5063,33936,34000,55053,55053
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,003310,Transportation,,260,1000,260,260
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,006010,Office and Administrative ,14894,21371,21000,17325,17325
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,100,General Fund,006020,Operating Supplies ,2521,4959,4000,5002,5002
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,346,Repair & Demolition Fund (Sch. 29),001010,Salaries General,7166,1787,2000,1912,1912
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,46F,Off-Site Sign Periodic Inspection Fee Fund (Sch. 29),001010,Salaries General,4176,1271,1000,1360,1360
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001010,Salaries General,11879976,10551273,10552000,10742917,10742917
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001070,"Salaries, As-Needed",281985,846301,846000,846301,846301
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),001090,Overtime General,1224080,241635,242000,241635,241635
08,Building and Safety,08LVL5,Building and Safety,0850,General Administration and Support,100,General Fund,48R,Building and Safety Building Permit Fund (Sch. 40),003310,Transportation,16066,17708,18000,17708,17708
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,100,General Fund,001010,Salaries General,4648308,4469777,4470000,4944384,4944384
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,100,General Fund,001070,"Salaries, As-Needed",9090,,,,
10,City Administrative Officer,10LVL5,City Administrative Officer,1001,Budget Formulation and Control,100,General Fund,100,General Fund,001090,Overtime General,54426,,40000,,
